name,region,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities,detailed_keywords,keywords
가경재,경상북도,36.537653745,128.5175868107,2465071,,"관광,숙박",,,,,,[],
가람초연재,경상북도,36.5390674494,128.5163479914,1865597,,"관광,숙박",,,,,,[],
가름게스트하우스,제주특별자치도,33.2365870334,126.5123383804,1896032,,"관광,숙박",,,,,,[],
가리벨리 관광펜션(가리벨리관광펜션휴양타운),강원특별자치도,38.0731872541,128.338376768,2571998,,"관광,숙박",,,,,,[],
가리왕산이야기 펜션,강원특별자치도,37.4241170266,128.5773915547,582215,,"관광,숙박",,,,,,[],
가보호텔,경기도,36.9932008224,127.1128582139,143017,,"관광,숙박",,,,,,[],
가비원모텔[한국관광 품질인증/Korea Quality],경상남도,35.189798812,127.6231054334,2950408,,"관광,숙박",,,,,,[],
가시버시펜션,경기도,37.5258897391,127.6019460659,942523,,"관광,숙박",,,,,,[],
가영당,충청북도,36.7351218825,127.4055417589,2707444,,"관광,숙박",,,,,,[],
가은채,전북특별자치도,35.8170640681,127.1532917977,2593271,,"관광,숙박",,,,,,[],
가은채2,전북특별자치도,35.8155697973,127.1535195942,2593272,,"관광,숙박",,,,,,[],
가을동화펜션,강원특별자치도,37.627297584,128.3519002081,2376711,,"관광,숙박",,,,,,[],
가재와곰펜션,강원특별자치도,37.6609429108,128.3109751158,2708335,,"관광,숙박",,,,,,[],
가평 하이랜드,경기도,37.9524878464,127.4766116592,1979670,,"관광,숙박",,,,,,[],
가평미라몬티풀빌라펜션,경기도,37.902313818,127.5134792182,2814152,,"관광,숙박",,,,,,[],
강가에 하얀집 펜션,강원특별자치도,37.1788536889,128.4347977723,1122064,,"관광,숙박",,,,,,[],
강가의성,강원특별자치도,37.6915933201,127.7832358849,940259,,"관광,숙박",,,,,,[],
강과 소나무[한국관광 품질인증/Korea Quality],강원특별자치도,37.4518927338,128.636668723,2398168,,"관광,숙박",,,,,,[],
강남스테이힐(Gangnam Stay Hill),서울특별시,37.5034291706,127.0301236613,2574118,,"관광,숙박",,,,,,[],
강남아르누보씨티호텔,서울특별시,37.4934664031,127.0281518997,2650614,,"관광,숙박",,,,,,[],
강릉 로뎀나무 펜션,강원특별자치도,37.8118978545,128.898017522,2913612,,"관광,숙박",,,,,,[],
강릉 부띠끄호텔 봄봄[한국관광 품질인증/Korea Quality],강원특별자치도,37.7666443332,128.8762486624,2903046,,"관광,숙박",,,,,,[],
강릉ing게스트하우스[한국관광 품질인증/Korea Quality],강원특별자치도,37.7615677151,128.9056239515,2398102,,"관광,숙박",,,,,,[],
강릉게스트하우스 중앙점[한국관광 품질인증/Korea Quality],강원특별자치도,37.7564042254,128.8954528054,2038173,,"관광,숙박",,,,,,[],
강릉선교장[한국관광 품질인증/Korea Quality],강원특별자치도,37.7855756438,128.8848528574,1989501,,"관광,숙박",,,,,,[],
강릉시 청소년 해양수련원,강원특별자치도,37.9149286939,128.8123942726,587289,,"관광,숙박",,,,,,[],
강릉오죽한옥마을,강원특별자치도,37.7773875687,128.8779926182,2531222,,"관광,숙박",,,,,,[],
강변에서 황토콘도,강원특별자치도,38.0100072208,128.2720847253,138547,,"관광,숙박",,,,,,[],
강변의수채화 펜션,강원특별자치도,37.6861096552,127.7311991032,678537,,"관광,숙박",,,,,,[],
강애산애펜션,강원특별자치도,37.634452247,128.3485086325,2760767,,"관광,숙박",,,,,,[],
강이 있는 풍경 펜션,경상북도,36.6628987224,128.1204936198,2568981,,"관광,숙박",,,,,,[],
강이흐르는마을 펜션,강원특별자치도,37.3697517144,128.6109401719,137913,,"관광,숙박",,,,,,[],
강촌 느티나무마을펜션,강원특별자치도,37.8118376994,127.6345597418,139190,,"관광,숙박",,,,,,[],
강촌잠빌펜션,강원특별자치도,37.7976922103,127.6393291693,2913427,,"관광,숙박",,,,,,[],
