title,work_date,work_hours,required_people,region,address,crop_type,preference_condition,image_url
곶감 만들기 체험,2024-09-06~2024-09-10,08:00-17:00,2-3명,전북 김제시,전북 김제시 금산면 벽골로 123,감,체험형/힐링 환영,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500
사과 수확 도우미,2024-09-12~2024-09-16,09:00-16:00,3-4명,전북 김제시,전북 김제시 봉남면 사과로 456,사과,젊은층 환영/체험 중심,https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=500
밤 수확 체험,20중4-09-18~2024-09-22,08:30-15:30,2명,전북 김제시,전북 김제시 부량면 밤나무길 789,밤,힐링/문화체험 선호,https://images.unsplash.com/photo-1509358271058-acd22cc93898?w=500
고구마 수확 축제,2024-09-25~2024-09-29,09:00-17:00,4-5명,전북 김제시,전북 김제시 청하면 고구마로 321,고구마,가족단위/체험형,https://images.unsplash.com/photo-1572635148818-ef6fd45eb394?w=500
곶감 선별 포장 작업,2024-10-01~2024-10-05,08:00-16:00,3명,전북 김제시,전북 김제시 금산면 벽골로 124,감,꼼꼼한 성격/체험 선호,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=500
딸기 하우스 관리,2024-10-08~2024-10-12,07:00-15:00,2-3명,전북 김제시,전북 김제시 용지면 딸기단지 555,딸기,실내작업 선호/체험형,https://images.unsplash.com/photo-1588595872376-302c6dc8e8a8?w=500
대추 수확 도우미,2024-10-15~2024-10-19,08:00-16:00,2-4명,전북 김제시,전북 김제시 공덕면 대추마을 777,대추,힐링 중심/전통체험,https://images.unsplash.com/photo-1542838132-92c53300491e?w=500
콩 수확 체험,2024-09-20~2024-09-24,09:00-17:00,3-4명,충북 괴산군,충북 괴산군 청천면 콩밭로 101,콩,체험형/농기계 배우기,https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=500
벼 베기 체험,2024-10-10~2024-10-14,08:00-16:00,4-5명,충북 괴산군,충북 괴산군 사리면 벼농사길 202,벼,전통농법 체험/청년 환영,https://images.unsplash.com/photo-1574323347407-f5e1ad6d020b?w=500
고추 수확 축제,2024-10-06~2024-10-10,08:30-17:30,5-6명,충남 청양군,충남 청양군 청양읍 고추로 303,고추,축제 참여/체험형,https://images.unsplash.com/photo-1583508915901-b5f84c1dcde1?w=500
농기계 점검 체험,2024-10-12~2024-10-16,09:00-15:00,2-3명,충북 괴산군,충북 괴산군 괴산읍 농기계로 404,농기계,기계 관심자/남성 우대,https://images.unsplash.com/photo-1625246333195-78d9c38ad449?w=500
트랙터 운전 체험,2024-09-28~2024-10-02,10:00-16:00,1-2명,충북 괴산군,충북 괴산군 청천면 트랙터길 505,농기계,운전면허 소지자/체험형,https://images.unsplash.com/photo-1544197150-b99a580bb7a8?w=500
감자 수확 도우미,2024-09-15~2024-09-19,08:00-15:00,3명,충남 청양군,충남 청양군 목면 감자밭로 606,감자,체력 자신있는 분/힐링,https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=500
옥수수 수확 체험,2024-09-08~2024-09-12,09:00-16:00,2-4명,충남 청양군,충남 청양군 정산면 옥수수길 707,옥수수,가족 체험/먹거리 관심,https://images.unsplash.com/photo-1551754655-cd27e38d2076?w=500
무 수확 도우미,2024-10-20~2024-10-24,08:30-16:30,4명,충북 괴산군,충북 괴산군 불정면 무밭로 808,무,김치 만들기 체험 포함,https://images.unsplash.com/photo-1590736969955-71cc94901144?w=500
배추 수확 체험,2024-10-18~2024-10-22,08:00-17:00,5명,충남 청양군,충남 청양군 비봉면 배추밭길 909,배추,김장철/전통체험,https://images.unsplash.com/photo-1590736969955-71cc94901144?w=500
호박 수확 축제,2024-09-30~2024-10-04,09:30-16:30,3-4명,전북 김제시,전북 김제시 성덕면 호박마을 111,호박,축제 분위기/가족형,https://images.unsplash.com/photo-1570197788417-0e82375c9371?w=500
토마토 하우스 관리,2024-09-11~2024-09-15,07:30-15:30,2명,충북 괴산군,충북 괴산군 문광면 토마토로 222,토마토,실내작업/꼼꼼함,https://images.unsplash.com/photo-1592924357228-91a4daadcfea?w=500
상추 수확 체험,2024-10-01~2024-10-03,09:00-15:00,3명,충남 청양군,충남 청양군 화성면 상추밭 333,상추,단기 체험/쉬운 작업,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=500
가지 수확 도우미,2024-09-23~2024-09-27,08:30-16:00,2-3명,충북 괴산군,충북 괴산군 칠성면 가지밭로 444,가지,체험형/요리 관심자,https://images.unsplash.com/photo-1536831786-9ae57810ad0e?w=500
제주 감귤 수확 체험,2024-11-01~2024-11-05,08:00-16:00,3-4명,제주 서귀포시,제주 서귀포시 남원읍 감귤로 123,감귤,제주 여행객/감귤 체험,https://images.unsplash.com/photo-1580842412463-ca16dd4b0d3b?w=500
한라봉 농장 돕기,2024-12-01~2024-12-05,09:00-17:00,2-3명,제주 제주시,제주 제주시 애월읍 한라봉길 456,한라봉,겨울철 체험/프리미엄 과일,https://images.unsplash.com/photo-1580842412463-ca16dd4b0d3b?w=500
제주 마늘 수확,2024-05-15~2024-05-19,07:00-15:00,4-5명,제주 서귀포시,제주 서귀포시 안덕면 마늘밭로 789,마늘,제주 특산물/체험형,https://images.unsplash.com/photo-1609501676725-7186f4f3d28e?w=500
당근 농장 체험,2024-10-10~2024-10-14,08:30-16:30,3명,제주 제주시,제주 제주시 구좌읍 당근밭길 321,당근,유기농 체험/건강 관심자,https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?w=500
제주 녹차밭 관리,2024-04-20~2024-04-24,06:00-14:00,2-4명,제주 서귀포시,제주 서귀포시 표선면 녹차로 654,차,전통차 관심/힐링,https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=500
예산 사과 수확 도우미,2024-10-05~2024-10-09,08:00-16:00,4-5명,충남 예산군,충남 예산군 광시면 사과단지로 111,사과,대용량 수확/체력 자신자,https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=500
천안 나주배 농장 체험,2024-09-28~2024-10-02,07:30-16:30,3-4명,충남 천안시,충남 천안시 동남구 배나무길 222,배,명품 과일/체험형,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=500
논산 딸기 하우스 관리,2024-12-10~2024-12-14,08:00-15:00,2-3명,충남 논산시,충남 논산시 연무읍 딸기단지 333,딸기,하우스 작업/겨울철 체험,https://images.unsplash.com/photo-1588595872376-302c6dc8e8a8?w=500
