name,region,address_full,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities
고창 선운산 유스호스텔,고창군,전북특별자치도,35.5034316425,126.5831950164,137499,,"관광,숙박",,,,,
고창읍성한옥마을,고창군,전북특별자치도,35.4324750976,126.7061747553,2049790,,"관광,숙박",,,,,
더블힐링펜션,고창군,전북특별자치도,35.6677507252,126.5161746257,2570435,,"관광,숙박",,,,,
모항 해나루 가족호텔,고창군,전북특별자치도,35.5806216078,126.507899782,2362535,,"관광,숙박",,,,,
생폴드방스 펜션,고창군,전북특별자치도,35.5958123757,126.557217226,2569785,,"관광,숙박",,,,,
선운산호텔,고창군,전북특별자치도,35.5037066416,126.5849948492,143000,,"관광,숙박",,,,,
영스테이,고창군,전북특별자치도,35.4480889957,126.4812471415,3472354,,"관광,숙박",,,,,
왕포리조텔,고창군,전북특별자치도,35.5861468507,126.5597533551,495904,,"관광,숙박",,,,,
채석강 리조트 유스호스텔,고창군,전북특별자치도,35.6274184379,126.4706158177,138675,,"관광,숙박",,,,,
채석리조텔오크빌,고창군,전북특별자치도,35.6245076862,126.4722907418,2531364,,"관광,숙박",,,,,
한옥펜션 나비의 꿈,고창군,전북특별자치도,35.6081197797,126.5851033198,2698914,,"관광,숙박",,,,,
해넘이펜션,고창군,전북특별자치도,35.6399530623,126.4670019357,495905,,"관광,숙박",,,,,
해피트리가족호텔,고창군,전북특별자치도,35.6420502048,126.4764704827,3040567,,"관광,숙박",,,,,
호텔석정힐,고창군,전북특별자치도,35.4301176308,126.741643886,2040030,,"관광,숙박",,,,,
글로리즈펜션,고창군,전북특별자치도,35.6646815818,126.5132888499,3470411,,"관광,숙박",,,,,
노을빛언덕펜션,고창군,전북특별자치도,35.6408226038,126.4786842053,1638748,,"관광,숙박",,,,,
동진캐슬 아모르펜션,고창군,전북특별자치도,35.6041628544,126.4768352927,1639649,,"관광,숙박",,,,,
라메르펜션,고창군,전북특별자치도,35.6231189647,126.4728518379,1640008,,"관광,숙박",,,,,
라비치펜션,고창군,전북특별자치도,35.654010515,126.5098088734,1638588,,"관광,숙박",,,,,
람사르 운곡습지 유스호스텔,고창군,전북특별자치도,35.4667533125,126.6331331627,2991679,,"관광,숙박",,,,,
레몬테라스,고창군,전북특별자치도,35.6542438259,126.5100532905,1638654,,"관광,숙박",,,,,
레인보우펜션,고창군,전북특별자치도,35.6532189438,126.5101310869,1635968,,"관광,숙박",,,,,
마루펜션,고창군,전북특별자치도,35.6632844699,126.5104391388,618575,,"관광,숙박",,,,,
모카펜션,고창군,전북특별자치도,35.6412335969,126.4744456836,1639130,,"관광,숙박",,,,,
바닷가의추억,고창군,전북특별자치도,35.6066124218,126.4676554939,1639943,,"관광,숙박",,,,,
발리펜션,고창군,전북특별자치도,35.6641122535,126.5163969201,1638715,,"관광,숙박",,,,,
소리섬펜션,고창군,전북특별자치도,35.6090232491,126.467077707,1643798,,"관광,숙박",,,,,
스테이 변산바람꽃,고창군,전북특별자치도,35.5873297895,126.544271371,2802005,,"관광,숙박",,,,,
아리울파크,고창군,전북특별자치도,35.6247354303,126.4718352207,1635368,,"관광,숙박",,,,,
어바인펜션,고창군,전북특별자치도,35.6274517951,126.4722490048,3469566,,"관광,숙박",,,,,
채석강 비치 호텔,고창군,전북특별자치도,35.6275850817,126.4703769458,3469610,,"관광,숙박",,,,,
태왕리조트,고창군,전북특별자치도,35.6079372456,126.466127819,3076619,,"관광,숙박",,,,,
품안에 서해바다,고창군,전북특별자치도,35.6523496564,126.513591912,1619820,,"관광,숙박",,,,,
플로라펜션,고창군,전북특별자치도,35.6055516379,126.4799710885,1639476,,"관광,숙박",,,,,
해넘이타운,고창군,전북특별자치도,35.6399530623,126.4670019357,2622716,,"관광,숙박",,,,,
호텔원변산,고창군,전북특별자치도,35.6275073038,126.4698519947,3474166,,"관광,숙박",,,,,
