name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
격포마을,고창군,전북특별자치도,35.6210191572,126.4700854705,129070,바다,체험형;먹거리 탐방;사진 스팟
계산서원,고창군,전북특별자치도,35.4561440235,126.5044059903,1956430,산,문화·역사;힐링·여유
고사포해수욕장,고창군,전북특별자치도,35.6619179225,126.5082532575,127865,바다,야외활동;레저·액티비티;힐링·여유;사진 스팟
고산,고창군,전북특별자치도,35.3301494949,126.6414219602,1595802,산,야외활동;힐링·여유;사진 스팟
고창 고인돌 유적 [유네스코 세계유산],고창군,전북특별자치도,35.4489417266,126.6499126742,126547,산,문화·역사;힐링·여유;사진 스팟
고창 무장 동학농민혁명 기포지,고창군,전북특별자치도,35.4042719907,126.4959413715,799613,산,문화·역사;사진 스팟
고창 무장객사,고창군,전북특별자치도,35.4184297466,126.557429994,128790,산,문화·역사;힐링·여유
고창 무장현 관아와 읍성,고창군,전북특별자치도,35.4179798008,126.5575994348,128766,산,문화·역사;힐링·여유;사진 스팟
고창 분청사기요지,고창군,전북특별자치도,35.5389566069,126.6556876701,1596337,산,문화·역사;체험형
고창 운곡람사르습지,고창군,전북특별자치도,35.4693367042,126.6540256843,2720432,숲,힐링·여유;체험형;야외활동;사진 스팟
고창 장호어촌체험휴양마을,고창군,전북특별자치도,35.4681613284,126.4580487055,3008542,바다,체험형;먹거리 탐방;야외활동;사진 스팟
고창갯벌,고창군,전북특별자치도,35.5311328965,126.5143810025,2615234,바다,체험형;야외활동;사진 스팟
고창신재효고택,고창군,전북특별자치도,35.4322000769,126.7030639278,126391,산,문화·역사;힐링·여유
고창웰파크시티,고창군,전북특별자치도,35.4320812865,126.7410244472,2779289,산,힐링·여유;레저·액티비티
고창읍성,고창군,전북특별자치도,35.4303280891,126.7044055224,126398,산,문화·역사;힐링·여유;사진 스팟
고창읍성 도예체험장,고창군,전북특별자치도,35.432500083,126.7054775943,2690525,산,체험형;문화·역사
고창향교,고창군,전북특별자치도,35.4374800292,126.7028027068,1595965,산,문화·역사;힐링·여유
곰소염전,고창군,전북특별자치도,35.5949856849,126.6161258878,1608654,바다,체험형;먹거리 탐방;사진 스팟
곰소항,고창군,전북특별자치도,35.5861059588,126.605446508,127690,바다,먹거리 탐방;사진 스팟
구시포마을,고창군,전북특별자치도,35.4451414741,126.4433117019,129069,바다,체험형;힐링·여유;사진 스팟
구암사(순창),고창군,전북특별자치도,35.4553033345,126.8860720932,298094,산,문화·역사;힐링·여유
궁항,고창군,전북특별자치도,35.6033517003,126.468772143,2755809,바다,힐링·여유;사진 스팟;먹거리 탐방
궁항리조트,고창군,전북특별자치도,35.6042349563,126.4701553307,2779506,바다,레저·액티비티;힐링·여유
내변산,고창군,전북특별자치도,35.6316418721,126.5713122879,717109,산,야외활동;힐링·여유;사진 스팟
내소사(부안),고창군,전북특별자치도,35.6122277197,126.5894667158,126352,산,문화·역사;힐링·여유;사진 스팟
내소사전나무숲길,고창군,전북특별자치도,35.6178548254,126.5875750757,2759612,숲,힐링·여유;야외활동;사진 스팟
노동 저수지,고창군,전북특별자치도,35.420190412,126.7080776734,3018384,강·호수,힐링·여유;야외활동;사진 스팟
도동서원(고창),고창군,전북특별자치도,35.4779705412,126.7419148771,1956969,산,문화·역사;힐링·여유
도산서당,고창군,전북특별자치도,35.4396068597,126.6609147089,1624554,산,문화·역사;힐링·여유
도솔계곡(선운산),고창군,전북특별자치도,35.497685011,126.5795288199,126262,산,야외활동;힐링·여유;사진 스팟
도솔암(고창),고창군,전북특별자치도,35.4806033555,126.5639528575,301263,산,문화·역사;힐링·여유
동호해수욕장,고창군,전북특별자치도,35.5181949778,126.4845145428,126286,바다,야외활동;레저·액티비티;사진 스팟;힐링·여유
두포갯벌체험장,고창군,전북특별자치도,35.6034351899,126.4786573701,2564151,바다,체험형;야외활동;사진 스팟
뚜라조각공원,고창군,전북특별자치도,35.4481837846,126.66803886,3041339,산,문화·역사;힐링·여유;사진 스팟
만돌갯벌체험학습장,고창군,전북특별자치도,35.5301302431,126.5150115273,128609,바다,체험형;야외활동;사진 스팟
만화서원,고창군,전북특별자치도,35.4936126492,126.7086924347,1956975,산,문화·역사;힐링·여유
명사십리 및 구시포 (전북 서해안 국가지질공원),고창군,전북특별자치도,35.4455774092,126.4356957029,2615241,바다,야외활동;사진 스팟;힐링·여유
모항갯벌체험장,고창군,전북특별자치도,35.5872292901,126.5138657506,2588908,바다,체험형;야외활동;사진 스팟
모항어촌체험마을,고창군,전북특별자치도,35.5880236501,126.514215699,128448,바다,체험형;먹거리 탐방;사진 스팟
모항해수욕장,고창군,전북특별자치도,35.58286024,126.5077441836,127689,바다,야외활동;레저·액티비티;힐링·여유;사진 스팟
무장향교,고창군,전북특별자치도,35.4276788433,126.5661512097,1954779,산,문화·역사;힐링·여유
무장향교 대성전,고창군,전북특별자치도,35.4278677058,126.5658484542,1624600,산,문화·역사;힐링·여유
