name,region,address_full,lat,lon,contentid,image_url,tags,keywords,source_file,classification_method
경암동 철길마을,군산시,전북특별자치도,35.9813520474,126.7362330582,2605528,,"관광,문화","마을,자연,전통,관광,문화",tour_api_attractions.csv,좌표
고군산군도,군산시,전북특별자치도,35.8168440944,126.4712109761,131279,,"관광,자연","등산,하이킹,자연,운동,경치,전통,관광",tour_api_attractions.csv,좌표
고군산대교,군산시,전북특별자치도,35.8130885149,126.4443606944,2703743,,"관광,문화","등산,하이킹,자연,운동,경치,다리,건축,경관,도시,교통,전통,관광,문화",tour_api_attractions.csv,좌표
구 조선식량영단 군산출장소,군산시,전북특별자치도,35.9902422487,126.7098796298,3025772,,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화",tour_api_attractions.csv,좌표
군산 개정면 구 일본인농장 창고,군산시,전북특별자치도,35.9591972899,126.7973420585,916815,,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화",tour_api_attractions.csv,좌표
군산 말랭이마을,군산시,전북특별자치도,35.9860565277,126.7047246433,3025690,,"관광,문화","등산,하이킹,자연,운동,경치,마을,전통,관광,문화",tour_api_attractions.csv,좌표
군산 발산리 석등,군산시,전북특별자치도,35.9592333856,126.7967004478,916913,,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화",tour_api_attractions.csv,좌표
군산 부윤관사,군산시,전북특별자치도,35.984706723,126.7071466842,3025794,,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화",tour_api_attractions.csv,좌표
군산 시간여행마을,군산시,전북특별자치도,35.9887036766,126.718131709,2649961,,"관광,문화","등산,하이킹,자연,운동,경치,마을,전통,관광,문화",tour_api_attractions.csv,좌표
군산 신흥동 일본식가옥(히로쓰 가옥),군산시,전북특별자치도,35.9863009684,126.7061578421,913869,,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화",tour_api_attractions.csv,좌표
군산 주 제일사료주식회사 공장,군산시,전북특별자치도,35.9887619669,126.71600412,3025573,,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화",tour_api_attractions.csv,좌표
군산근대미술관,군산시,전북특별자치도,35.9899367776,126.7127710457,2468978,,"관광,문화","등산,하이킹,자연,운동,경치,미술관,예술,문화,전시,작품,전통,관광",tour_api_attractions.csv,좌표
군산선유도유람선,군산시,전북특별자치도,35.811732639,126.4161049225,2743288,,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화",tour_api_attractions.csv,좌표
군산어린이교통공원,군산시,전북특별자치도,35.9607795808,126.5841527506,3025912,,"관광,문화","등산,하이킹,자연,운동,경치,공원,산책,휴식,녹지,다리,건축,전통,관광,문화",tour_api_attractions.csv,좌표
군산항,군산시,전북특별자치도,35.9778450739,126.6297121227,988466,,"관광,자연","등산,하이킹,자연,운동,경치,전통,관광",tour_api_attractions.csv,좌표
근대건축관 (구)조선은행군산지점,군산시,전북특별자치도,35.9894201935,126.7141598237,2469034,,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화",tour_api_attractions.csv,좌표
금강미래체험관,군산시,전북특별자치도,36.0201953261,126.7648961534,2911408,,"관광,자연","체험,교육,활동,참여,학습,체험관,자연,전통,관광",tour_api_attractions.csv,좌표
금강습지생태공원,군산시,전북특별자치도,36.0224284414,126.7670486805,2606117,,"관광,자연","공원,자연,산책,휴식,녹지,운동,전통,관광",tour_api_attractions.csv,좌표
금강하구둑(군산),군산시,전북특별자치도,36.0159483282,126.7496865132,126011,,"관광,자연","등산,하이킹,자연,운동,경치,전통,관광",tour_api_attractions.csv,좌표
금강호 관광지,군산시,전북특별자치도,36.0188815227,126.7611076373,1624685,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
김제평야,군산시,전북특별자치도,35.8814342518,126.8158007576,228895,,"관광,자연","자연,전통,관광",tour_api_attractions.csv,좌표
나포십자뜰철새관찰소,군산시,전북특별자치도,36.0358445445,126.8234127339,3361644,,"관광,자연","자연,전통,관광",tour_api_attractions.csv,좌표
대장도,군산시,전북특별자치도,35.8181426562,126.3945094696,2860680,,"관광,자연","자연,전통,관광",tour_api_attractions.csv,좌표
대장봉,군산시,전북특별자치도,35.8173982984,126.3946150349,3026624,,"관광,자연","등산,하이킹,자연,운동,경치,전통,관광",tour_api_attractions.csv,좌표
동국사(군산),군산시,전북특별자치도,35.9829485974,126.7075855787,129509,,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화",tour_api_attractions.csv,좌표
동백대교,군산시,전북특별자치도,35.9943500462,126.7059770945,2703775,,"관광,문화","다리,건축,경관,도시,교통,자연,전통,관광,문화",tour_api_attractions.csv,좌표
만경낙조전망대,군산시,전북특별자치도,35.8901301968,126.7990853584,3079580,,"관광,문화","전망대,경치,조망,풍경,경관,자연,전통,관광,문화",tour_api_attractions.csv,좌표
몽돌해수욕장 (몽돌해변),군산시,전북특별자치도,35.8284888289,126.4022890673,2759671,,"관광,자연","바다,해변,물놀이,여름,해수욕,모래,자연,전통,관광",tour_api_attractions.csv,좌표
무녀교,군산시,전북특별자치도,35.813335705,126.4441357079,2703786,,"관광,문화","다리,건축,경관,도시,교통,자연,전통,관광,문화",tour_api_attractions.csv,좌표
무녀도,군산시,전북특별자치도,35.7996423796,126.4178106318,126292,,"관광,자연","자연,전통,관광",tour_api_attractions.csv,좌표
문창서원,군산시,전북특별자치도,35.9308656418,126.7069453158,1956978,,"관광,문화","서원,교육,유교,역사,전통,자연,관광,문화",tour_api_attractions.csv,좌표
보천사(군산),군산시,전북특별자치도,36.0122283147,126.8535800969,1624663,,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화",tour_api_attractions.csv,좌표
불주사(불지사),군산시,전북특별자치도,36.0246823339,126.8468887036,128833,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
새만금 비응공원,군산시,전북특별자치도,35.9438890764,126.5389933376,2783863,,"관광,문화","공원,자연,산책,휴식,녹지,운동,전통,관광,문화",tour_api_attractions.csv,좌표
새만금무궁화공원,군산시,전북특별자치도,35.8138029652,126.4825378185,2743296,,"관광,문화","공원,자연,산책,휴식,녹지,운동,궁궐,역사,조선,문화재,전통,관광,문화",tour_api_attractions.csv,좌표
새만금어린이랜드,군산시,전북특별자치도,35.9485616899,126.5934800075,2742225,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
새만금유람선,군산시,전북특별자치도,35.8235812888,126.4161796156,1081865,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
생말공원,군산시,전북특별자치도,35.9672674923,126.5701955001,2743290,,"관광,문화","공원,자연,산책,휴식,녹지,운동,전통,관광,문화",tour_api_attractions.csv,좌표
선유대교,군산시,전북특별자치도,35.8082691291,126.41513843,2606126,,"관광,문화","다리,건축,경관,도시,교통,자연,전통,관광,문화",tour_api_attractions.csv,좌표
선유도,군산시,전북특별자치도,35.8102049733,126.4124052922,226923,,"관광,자연","자연,전통,관광",tour_api_attractions.csv,좌표
선유도 둘레길,군산시,전북특별자치도,35.8080191116,126.4124247901,3025830,,"관광,자연","자연,전통,관광",tour_api_attractions.csv,좌표
선유도 월명유람선,군산시,전북특별자치도,35.8165459289,126.4131272888,128944,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
선유도항방파제등대,군산시,전북특별자치도,35.8271142553,126.4183432215,3078054,,"관광,자연","등대,바다,해안,항해,역사,자연,전통,관광",tour_api_attractions.csv,좌표
