name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
경원해물찜,군산시,전북특별자치도,35.9686330606,126.6779997062,2923881,,"관광,음식점",,,,,,
계곡가든꽃게장,군산시,전북특별자치도,35.9831246695,126.7713770921,133561,,"관광,음식점",,,,,,
공감선유,군산시,전북특별자치도,35.9085762963,126.6939220548,2778852,,"관광,음식점",,,,,,
국제반점,군산시,전북특별자치도,35.9881563934,126.7109101469,2877149,,"관광,음식점",,,,,,
군산대전횟집,군산시,전북특별자치도,35.9935585193,126.7088713005,2904934,,"관광,음식점",,,,,,
군산일식,군산시,전북특별자치도,35.9575178377,126.6882907398,2923854,,"관광,음식점",,,,,,
군산중동호떡,군산시,전북특별자치도,35.9825183452,126.7224398172,2010167,,"관광,음식점",,,,,,
군산활어회센타,군산시,전북특별자치도,35.9700473392,126.7102995587,2923832,,"관광,음식점",,,,,,
궁전,군산시,전북특별자치도,35.9871759307,126.7097936054,854883,,"관광,음식점",,,,,,
남도밥상,군산시,전북특별자치도,35.8129546841,126.4138606473,2891300,,"관광,음식점",,,,,,
내갈비,군산시,전북특별자치도,35.9605619627,126.6899182935,854442,,"관광,음식점",,,,,,
노조미라멘본점,군산시,전북특별자치도,35.9795879678,126.7132823789,2923809,,"관광,음식점",,,,,,
다올식당,군산시,전북특별자치도,35.9775718718,126.7331945389,2904967,,"관광,음식점",,,,,,
다이도,군산시,전북특별자치도,35.9678563188,126.7334947636,2904982,,"관광,음식점",,,,,,
당골 한옥카페 / 당골카페,군산시,전북특별자치도,36.0016143272,126.7773094151,2783366,,"관광,음식점",,,,,,
대북경,군산시,전북특별자치도,35.9561433862,126.7112053933,2905022,,"관광,음식점",,,,,,
도란,군산시,전북특별자치도,35.9868703714,126.7075354816,3355952,,"관광,음식점",,,,,,
돔베초밥,군산시,전북특별자치도,35.9597485879,126.7145855529,2925372,,"관광,음식점",,,,,,
동국사다온,군산시,전북특별자치도,35.9828791638,126.70775501,3355966,,"관광,음식점",,,,,,
동백상사,군산시,전북특별자치도,35.9622427993,126.7176157733,2924690,,"관광,음식점",,,,,,
또또생곱창,군산시,전북특별자치도,35.9634894891,126.6947511189,2904335,,"관광,음식점",,,,,,
뚱보식당,군산시,전북특별자치도,35.9823292665,126.7100825941,2904356,,"관광,음식점",,,,,,
뜨락 누룽지백숙,군산시,전북특별자치도,35.9667681449,126.76797782,2905060,,"관광,음식점",,,,,,
란향,군산시,전북특별자치도,35.9652093942,126.7332143017,2924673,,"관광,음식점",,,,,,
리즈리,군산시,전북특별자치도,35.942132726,126.8064500203,2929407,,"관광,음식점",,,,,,
리투스카페,군산시,전북특별자치도,35.9862235076,126.7241840099,2877157,,"관광,음식점",,,,,,
만남스넥,군산시,전북특별자치도,35.98425682,126.7097992361,2877165,,"관광,음식점",,,,,,
먹방이와 친구들,군산시,전북특별자치도,35.9911921664,126.7113961359,3356579,,"관광,음식점",,,,,,
명월갈비,군산시,전북특별자치도,35.9864982351,126.710074154,2924657,,"관광,음식점",,,,,,
모산방,군산시,전북특별자치도,35.9629643268,126.6817217424,685143,,"관광,음식점",,,,,,
모트,군산시,전북특별자치도,35.9626375151,126.7360835564,2929425,,"관광,음식점",,,,,,
물고기자리,군산시,전북특별자치도,35.9358453225,126.5255253043,2925121,,"관광,음식점",,,,,,
물밀소,군산시,전북특별자치도,35.9851317068,126.7090576136,2778090,,"관광,음식점",,,,,,
미즈커피,군산시,전북특별자치도,35.9901978542,126.7125016182,2774043,,"관광,음식점",,,,,,
바지락명가장가네,군산시,전북특별자치도,35.9403421712,126.5337911162,2924930,,"관광,음식점",,,,,,
복성루,군산시,전북특별자치도,35.9782076126,126.7157710807,1827859,,"관광,음식점",,,,,,
비응반점,군산시,전북특별자치도,35.9398560453,126.5296442778,2891312,,"관광,음식점",,,,,,
뽀빠이감자탕,군산시,전북특별자치도,35.988348035,126.710724048,2929521,,"관광,음식점",,,,,,
뽕나무집,군산시,전북특별자치도,35.953454639,126.7015396601,2905077,,"관광,음식점",,,,,,
산마루,군산시,전북특별자치도,35.9617509561,126.7039725616,134446,,"관광,음식점",,,,,,
삼미정,군산시,전북특별자치도,35.9698162517,126.6776080441,854516,,"관광,음식점",,,,,,
서소문소바,군산시,전북특별자치도,35.9703527179,126.7019891832,2925571,,"관광,음식점",,,,,,
서수해장국,군산시,전북특별자치도,35.9789516457,126.8587055062,2866882,,"관광,음식점",,,,,,
서우식당,군산시,전북특별자치도,35.9685890871,126.7052833785,2877171,,"관광,음식점",,,,,,
서울소바,군산시,전북특별자치도,35.9600485902,126.716724243,2929595,,"관광,음식점",,,,,,
선유도밤바다,군산시,전북특별자치도,35.8251588751,126.4154879708,2929734,,"관광,음식점",,,,,,
송가짬뽕,군산시,전북특별자치도,35.9689864577,126.7166767939,2924762,,"관광,음식점",,,,,,
수송반점,군산시,전북특별자치도,35.9717999663,126.7131881444,2866903,,"관광,음식점",,,,,,
신자네연탄구이,군산시,전북특별자치도,35.9583760857,126.6890295404,2924748,,"관광,음식점",,,,,,
아리울해물짬뽕,군산시,전북특별자치도,35.9401755227,126.5337466801,2923780,,"관광,음식점",,,,,,
아우어인어스,군산시,전북특별자치도,35.9647562472,126.708605403,2778895,,"관광,음식점",,,,,,
안동집,군산시,전북특별자치도,35.982098793,126.7133100888,2923752,,"관광,음식점",,,,,,
영국빵집,군산시,전북특별자치도,35.9786240459,126.7049359279,2929854,,"관광,음식점",,,,,,
영화원,군산시,전북특별자치도,35.9889424116,126.7107184774,2877177,,"관광,음식점",,,,,,
오죽,군산시,전북특별자치도,35.9594315857,126.6928097313,2866942,,"관광,음식점",,,,,,
왕산반점,군산시,전북특별자치도,35.9735023447,126.7011863957,2752485,,"관광,음식점",,,,,,
우리밀,군산시,전북특별자치도,35.9952859456,126.8618048037,2924730,,"관광,음식점",,,,,,
우민회관,군산시,전북특별자치도,35.9641678951,126.736058519,2905089,,"관광,음식점",,,,,,
원풍갈비,군산시,전북특별자치도,35.9770969289,126.7333528704,2907300,,"관광,음식점",,,,,,
음미당,군산시,전북특별자치도,35.9652169795,126.6895098767,2924710,,"관광,음식점",,,,,,
이성당,군산시,전북특별자치도,35.9870898531,126.7111823722,2010199,,"관광,음식점",,,,,,
일품회집,군산시,전북특별자치도,35.9698032106,126.7271452812,2923711,,"관광,음식점",,,,,,
일흥옥,군산시,전북특별자치도,35.985170594,126.709227041,2866966,,"관광,음식점",,,,,,
지곡동옛날돈까스,군산시,전북특별자치도,35.97022272,126.7337419024,2907325,,"관광,음식점",,,,,,
진성원,군산시,전북특별자치도,35.9813046718,126.7269227814,2866984,,"관광,음식점",,,,,,
청기와집,군산시,전북특별자치도,35.9711553355,126.697972855,854837,,"관광,음식점",,,,,,
청담횟집 본점,군산시,전북특별자치도,35.9632288097,126.718315685,2867007,,"관광,음식점",,,,,,
첼로네시아,군산시,전북특별자치도,35.9879757877,126.7067688554,2929910,,"관광,음식점",,,,,,
최동민양푼갈비 군산본점,군산시,전북특별자치도,35.9628232861,126.7174657717,2871145,,"관광,음식점",,,,,,
카페라파르,군산시,전북특별자치도,35.8129182954,126.3971093695,2877189,,"관광,음식점",,,,,,
카페리즈,군산시,전북특별자치도,35.9557960819,126.7040782613,2907442,,"관광,음식점",,,,,,
카페미곡창고 SQUARE3.5,군산시,전북특별자치도,35.986129435,126.7452849022,2877195,,"관광,음식점",,,,,,
카페산타로사,군산시,전북특별자치도,35.9560070727,126.6984593141,2923690,,"관광,음식점",,,,,,
커피홀릭,군산시,전북특별자치도,35.9356370143,126.5256086353,2923670,,"관광,음식점",,,,,,
토실배기,군산시,전북특별자치도,35.9584375541,126.7103415222,2867023,,"관광,음식점",,,,,,
틈(TEUM),군산시,전북특별자치도,35.9893895941,126.7113878504,2778092,,"관광,음식점",,,,,,
푸르던,군산시,전북특별자치도,35.9654182997,126.7680306282,2907446,,"관광,음식점",,,,,,
프레드,군산시,전북특별자치도,35.9660897346,126.7264759927,2777878,,"관광,음식점",,,,,,
하누떡갈비,군산시,전북특별자치도,35.9601291793,126.71921013,2923627,,"관광,음식점",,,,,,
하이벳수산,군산시,전북특별자치도,35.972654825,126.6780995936,2923605,,"관광,음식점",,,,,,
한가로이,군산시,전북특별자치도,35.9862985279,126.7258616359,2907454,,"관광,음식점",,,,,,
한우진대가,군산시,전북특별자치도,35.9648816105,126.7306839804,2923530,,"관광,음식점",,,,,,
해담,군산시,전북특별자치도,35.9446360695,126.6938377983,2923504,,"관광,음식점",,,,,,
홍윤베이커리,군산시,전북특별자치도,35.9672088442,126.7143826005,2923482,,"관광,음식점",,,,,,
MCL,군산시,전북특별자치도,35.967831423,126.7394220119,2778087,,"관광,음식점",,,,,,
[백년가게]쌍용반점,군산시,전북특별자치도,35.9931002616,126.710226747,2616289,,"관광,음식점",,,,,,
[백년가게]운정식당,군산시,전북특별자치도,35.9847596165,126.7142877104,2616290,,"관광,음식점",,,,,,
갈비스토리,군산시,전북특별자치도,35.9679251522,126.698206251,2568281,,"관광,음식점",,,,,,
군산복집,군산시,전북특별자치도,35.9847039735,126.7088159789,854916,,"관광,음식점",,,,,,
궁전꽃게장,군산시,전북특별자치도,35.9766387714,126.7405966792,2568526,,"관광,음식점",,,,,,
노방촌,군산시,전북특별자치도,35.9244950806,126.7615905961,2568577,,"관광,음식점",,,,,,
대가 꽃게장,군산시,전북특별자치도,35.9820220268,126.7719326266,1947071,,"관광,음식점",,,,,,
두메골,군산시,전북특별자치도,35.9536129552,126.7015952065,2568658,,"관광,음식점",,,,,,
명동소바,군산시,전북특별자치도,35.9871510551,126.7169040812,2568701,,"관광,음식점",,,,,,
무녀2구마을버스,군산시,전북특별자치도,35.8063197483,126.4387530345,2738819,,"관광,음식점",,,,,,
미제리,군산시,전북특별자치도,35.9592232829,126.6932069224,2809293,,"관광,음식점",,,,,,
미향,군산시,전북특별자치도,35.9710134025,126.681429894,2569097,,"관광,음식점",,,,,,
바다회집,군산시,전북특별자치도,35.9707721508,126.7041167601,2568724,,"관광,음식점",,,,,,
비행장 정문 부대찌개,군산시,전북특별자치도,35.9637922377,126.695059417,2748797,,"관광,음식점",,,,,,
빈해원,군산시,전북특별자치도,35.9888841406,126.7139765207,854679,,"관광,음식점",,,,,,
빵굽는오남매,군산시,전북특별자치도,35.9830597428,126.7103047773,2864910,,"관광,음식점",,,,,,
사골뚝배기,군산시,전북특별자치도,35.9855594764,126.7114157244,2568757,,"관광,음식점",,,,,,
삼풍식당,군산시,전북특별자치도,36.014770848,126.7592329118,1985787,,"관광,음식점",,,,,,
새만금 등대로,군산시,전북특별자치도,35.9407392716,126.5292887307,1305903,,"관광,음식점",,,,,,
새만금횟집,군산시,전북특별자치도,35.9393283762,126.5325107012,2568786,,"관광,음식점",,,,,,
순돌이곱창,군산시,전북특별자치도,35.9857011242,126.7112851765,2902297,,"관광,음식점",,,,,,
스위트인디아,군산시,전북특별자치도,35.9860261027,126.7121712006,2568918,,"관광,음식점",,,,,,
신가네칼국수,군산시,전북특별자치도,36.014743074,126.7592440229,2568920,,"관광,음식점",,,,,,
아르디,군산시,전북특별자치도,35.9860927123,126.7093103439,2806751,,"관광,음식점",,,,,,
아리랑,군산시,전북특별자치도,35.989734031,126.7132460082,2568939,,"관광,음식점",,,,,,
압강옥,군산시,전북특별자치도,35.9580353325,126.7402027511,854727,,"관광,음식점",,,,,,
오구이,군산시,전북특별자치도,35.9461088982,126.5761427335,2866921,,"관광,음식점",,,,,,
온새미로,군산시,전북특별자치도,35.9677195661,126.6950065429,2568965,,"관광,음식점",,,,,,
옹고집쌈밥,군산시,전북특별자치도,36.0168462832,126.7983849118,2568967,,"관광,음식점",,,,,,
완주옥,군산시,전북특별자치도,35.9855429123,126.7173263074,2568973,,"관광,음식점",,,,,,
유성가든,군산시,전북특별자치도,36.011657358,126.7617438795,2568988,,"관광,음식점",,,,,,
일풍식당,군산시,전북특별자치도,35.9717498618,126.7067387221,1603190,,"관광,음식점",,,,,,
장국명가,군산시,전북특별자치도,35.9778527212,126.7522344957,2569040,,"관광,음식점",,,,,,
장미칼국수,군산시,전북특별자치도,35.9855484533,126.7165097136,2811482,,"관광,음식점",,,,,,
지린성,군산시,전북특별자치도,35.9797157424,126.7139656476,2778843,,"관광,음식점",,,,,,
진갈비,군산시,전북특별자치도,35.9894589909,126.7090630558,2569106,,"관광,음식점",,,,,,
태성반점,군산시,전북특별자치도,35.9693529837,126.710838418,2871087,,"관광,음식점",,,,,,
파라디소페르두또,군산시,전북특별자치도,35.9560237441,126.6988398352,2743284,,"관광,음식점",,,,,,
한소끔,군산시,전북특별자치도,35.9541073638,126.7028034189,2788157,,"관광,음식점",,,,,,
한일옥,군산시,전북특별자치도,35.9874536503,126.7082492925,2569127,,"관광,음식점",,,,,,
한주옥,군산시,전북특별자치도,35.9893590062,126.7092824834,1947093,,"관광,음식점",,,,,,
할배국수,군산시,전북특별자치도,35.9880314058,126.7108073818,2902216,,"관광,음식점",,,,,,
해송,군산시,전북특별자치도,35.9648368061,126.7093275582,2569129,,"관광,음식점",,,,,,
현대횟집,군산시,전북특별자치도,35.9619981174,126.7020977229,2810866,,"관광,음식점",,,,,,
홍영장,군산시,전북특별자치도,35.9880120189,126.7140376482,2569143,,"관광,음식점",,,,,,
[백년가게]유락식당,군산시,전북특별자치도,35.9876927196,126.7203926439,2568982,,"관광,음식점",,,,,,
[착한가게] 가야장,군산시,전북특별자치도,35.9758859204,126.7312808649,2580454,,"관광,음식점",,,,,,
[착한가게] 국일식당,군산시,전북특별자치도,35.9861650523,126.7166485741,2580455,,"관광,음식점",,,,,,
[착한가게] 미주옥,군산시,전북특별자치도,35.9893896094,126.7122822141,2580459,,"관광,음식점",,,,,,
[착한가게] 선현대솥뚜껑갈비,군산시,전북특별자치도,35.9655533731,126.708249859,2580478,,"관광,음식점",,,,,,
[착한가게] 아서원,군산시,전북특별자치도,35.9782912147,126.7320585108,2580486,,"관광,음식점",,,,,,
