name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
금구향교,김제시,전북특별자치도,35.7730499516,127.0112444754,1598165,산,문화·역사;힐링·여유
김제 벽골제,김제시,전북특별자치도,35.7546687724,126.8531173673,231895,강·호수,문화·역사;체험형;사진 스팟;힐링·여유
김제 외갓집마을,김제시,전북특별자치도,35.8102897341,126.9865790389,228891,산,체험형;힐링·여유;먹거리 탐방
김제향교,김제시,전북특별자치도,35.8005751109,126.8795082765,1598192,산,문화·역사;힐링·여유
대제복구비,김제시,전북특별자치도,35.7992583767,126.866851105,1599009,산,문화·역사;사진 스팟
모덕사(벽제서원),김제시,전북특별자치도,35.7800053136,126.8844028156,1599347,산,문화·역사;힐링·여유
백산서원(김제),김제시,전북특별자치도,35.8258554346,126.8718860797,1956984,산,문화·역사;힐링·여유
백석서원,김제시,전북특별자치도,35.8097876796,126.8637122237,1599399,산,문화·역사;힐링·여유
선암 자연휴양림,김제시,전북특별자치도,35.7656818478,127.0404226259,3361444,산;숲,야외활동;체험형;힐링·여유
성산공원,김제시,전북특별자치도,35.8017444066,126.8786138812,1600365,산,야외활동;힐링·여유;사진 스팟
쌍용사(김제),김제시,전북특별자치도,35.721444599,127.0048630472,337410,산,문화·역사;힐링·여유
용강서원(전주),김제시,전북특별자치도,35.8552716461,127.0399842217,1957026,산,문화·역사;힐링·여유
용봉사(김제),김제시,전북특별자치도,35.8750431047,126.9652625889,346632,산,문화·역사;힐링·여유
원각사(김제),김제시,전북특별자치도,35.8018028184,126.8835884362,346909,산,문화·역사;힐링·여유
익산 춘포리 구 일본인 농장 가옥,김제시,전북특별자치도,35.8988744263,127.0059833368,1584836,산,문화·역사;체험형
장철성고택,김제시,전북특별자치도,35.7703473333,127.0026536441,1600674,산,문화·역사;힐링·여유
전주 이강주,김제시,전북특별자치도,35.8737609871,127.0272265433,229955,산,먹거리 탐방;문화·역사;체험형
지사울공원,김제시,전북특별자치도,35.8290771018,127.0224059145,2742233,산,야외활동;힐링·여유;사진 스팟
학당서원,김제시,전북특별자치도,35.8316384283,126.8904481644,1600967,산,문화·역사;힐링·여유
혜봉사,김제시,전북특별자치도,35.7693308475,127.0064172241,486531,산,문화·역사;힐링·여유
휘게팜,김제시,전북특별자치도,35.8047309385,126.9229487411,3040120,산,체험형;레저·액티비티;힐링·여유
구암서원(김제),김제시,전북특별자치도,35.8529565405,126.9541613753,1597980,산,문화·역사;힐링·여유
금산교회,김제시,전북특별자치도,35.7194036915,127.0354937087,250328,산,문화·역사;힐링·여유
금평저수지,김제시,전북특별자치도,35.7212920752,127.0186146058,1598378,강·호수,힐링·여유;사진 스팟;야외활동
김제동헌,김제시,전북특별자치도,35.8010056559,126.881766397,1599176,산,문화·역사;힐링·여유
낙양사,김제시,전북특별자치도,35.8114533776,126.9800434801,1598258,산,문화·역사;힐링·여유
만경강,김제시,전북특별자치도,35.8990664146,127.0258760028,1625152,강·호수,야외활동;힐링·여유;사진 스팟
문수사(김제),김제시,전북특별자치도,35.7806199508,126.9321041051,304836,산,문화·역사;힐링·여유
백산저수지,김제시,전북특별자치도,35.8459840763,126.8939558126,1599383,강·호수,힐링·여유;야외활동
벽성서원,김제시,전북특별자치도,35.8012028192,126.8796499138,1599509,산,문화·역사;힐링·여유
부용사,김제시,전북특별자치도,35.8790952573,126.9558049935,1599564,산,문화·역사;힐링·여유
사현사,김제시,전북특별자치도,35.7866236503,127.0253262029,1599584,산,문화·역사;힐링·여유
삼현서원,김제시,전북특별자치도,35.829199749,126.8865180219,1599631,산,문화·역사;힐링·여유
서강사(김제),김제시,전북특별자치도,35.7694724525,127.0038035642,1599659,산,문화·역사;힐링·여유
승방원(승방서원),김제시,전북특별자치도,35.8279808771,126.91176858,1600451,산,문화·역사;힐링·여유
영천사,김제시,전북특별자치도,35.7784285644,126.9338928913,1600515,산,문화·역사;힐링·여유
용암서원(김제),김제시,전북특별자치도,35.8011889234,126.8791416267,1600536,산,문화·역사;힐링·여유
월명사(김제),김제시,전북특별자치도,35.7253945123,127.0258944075,1600606,산,문화·역사;힐링·여유
육송사,김제시,전북특별자치도,35.7313462825,127.0067015165,1600641,산,문화·역사;힐링·여유
은적사(김제),김제시,전북특별자치도,35.7384344218,127.0099593768,1600657,산,문화·역사;힐링·여유
저산서원(김제),김제시,전북특별자치도,35.8984306665,126.8815972221,1600706,산,문화·역사;힐링·여유
정구례고가(정구례옛집),김제시,전북특별자치도,35.7739388945,126.8585497199,1600719,산,문화·역사;힐링·여유
지음서원,김제시,전북특별자치도,35.8177232279,126.8835880247,1600728,산,문화·역사;힐링·여유
청운사(김제),김제시,전북특별자치도,35.89125869,126.8483337103,482172,산,문화·역사;힐링·여유
콩쥐팥쥐동화마을 (완주벽화마을),김제시,전북특별자치도,35.8033551737,127.030758618,2757755,산,체험형;문화·역사;사진 스팟
팔효사,김제시,전북특별자치도,35.7925484092,126.8889993041,1600944,산,문화·역사;힐링·여유
학선암,김제시,전북특별자치도,35.7441145337,127.0216915184,485690,산,문화·역사;힐링·여유
화동서원(김제),김제시,전북특별자치도,35.7723224633,126.8615522722,1600978,산,문화·역사;힐링·여유
name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
흥복사(김제),김제시,전북특별자치도,35.82865016,126.906802339,488345,산,문화·역사;힐링·여유
국립청소년농생명센터,김제시,전북특별자치도 김제시 부량면 벽골제로 421,,,2737317,산,체험형;문화·역사;힐링·여유
김제문화원,김제시,전북특별자치도 김제시 서암5길 5 (서암동),,,129978,산,문화·역사;체험형
벽골제 농경문화 박물관,김제시,전북특별자치도 김제시 부량면 벽골제로 442,,,130253,강·호수,문화·역사;체험형;사진 스팟
조정래 아리랑문학관,김제시,전북특별자치도 김제시 부량면 용성1길 24,,,1624811,산,문화·역사;힐링·여유
김제지평선축제,김제시,전북특별자치도 김제시 부량면 벽골제로 442,,,574285,강·호수,축제·이벤트;문화·역사;체험형;먹거리 탐방
진봉새만금보리밭축제,김제시,전북특별자치도 김제시 진봉면 심포리,,,3114868,산,축제·이벤트;야외활동;힐링·여유
김제모악산캠핑파크,김제시,전북특별자치도 김제시 금산면 금산리 79-9,,,2724409,산,야외활동;체험형;힐링·여유
대율저수지,김제시,전북특별자치도 김제시 금구면 대화리,,,131479,강·호수,야외활동;힐링·여유;사진 스팟
만경지(능제저수지),김제시,전북특별자치도 김제시 만경읍 장산리,,,131058,강·호수,힐링·여유;야외활동;사진 스팟
