name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
그 날의 온도,김제시,전북특별자치도,35.8544188638,127.0340986571,2929928,,"관광,음식점",,,,,,
다솜차반,김제시,전북특별자치도,35.7899317255,127.0321838399,2877426,,"관광,음식점",,,,,,
대운한우암소회관,김제시,전북특별자치도,35.7161700319,126.9951723793,2847896,,"관광,음식점",,,,,,
대율담,김제시,전북특별자치도,35.791345568,127.0388137687,2837158,,"관광,음식점",,,,,,
대흥각,김제시,전북특별자치도,35.8037140311,126.9021867291,2877448,,"관광,음식점",,,,,,
두꺼비회관,김제시,전북특별자치도,35.7987171333,126.8879603484,133573,,"관광,음식점",,,,,,
디오니카페,김제시,전북특별자치도,35.85183584,127.0349819792,2929994,,"관광,음식점",,,,,,
명천식당슈퍼,김제시,전북특별자치도,35.8866072525,126.895490734,2910650,,"관광,음식점",,,,,,
바랑산가든,김제시,전북특별자치도,35.7906649055,127.0281258492,133564,,"관광,음식점",,,,,,
소프라,김제시,전북특별자치도,35.8163362565,126.9859289397,2899953,,"관광,음식점",,,,,,
아울카페,김제시,전북특별자치도,35.7834268973,127.031420188,2899927,,"관광,음식점",,,,,,
예촌,김제시,전북특별자치도,35.7744553407,127.0108528072,2899920,,"관광,음식점",,,,,,
오늘여기,김제시,전북특별자치도,35.8125339743,126.9895537159,2783362,,"관광,음식점",,,,,,
원평지평선청보리한우촌,김제시,전북특별자치도,35.715833974,126.9960334221,2877475,,"관광,음식점",,,,,,
은빛가든,김제시,전북특별자치도,35.835104989,126.9072687964,849201,,"관광,음식점",,,,,,
조만영의벌떡순대국,김제시,전북특별자치도,35.7978644138,126.8856939059,2899867,,"관광,음식점",,,,,,
지평선바지락죽,김제시,전북특별자치도,35.8045497879,126.8870824982,851726,,"관광,음식점",,,,,,
촌집,김제시,전북특별자치도,35.7217923091,127.0354908692,2851564,,"관광,음식점",,,,,,
카페캔버스,김제시,전북특별자치도,35.8346098277,127.0236695471,2814768,,"관광,음식점",,,,,,
광주복집,김제시,전북특별자치도,35.8036582746,126.8901044739,1603612,,"관광,음식점",,,,,,
매드에스프레소로스터리,김제시,전북특별자치도,35.8284827527,127.0239696793,2847845,,"관광,음식점",,,,,,
맷돌순두부,김제시,전북특별자치도,35.7999083385,126.868939791,1603629,,"관광,음식점",,,,,,
미즈노씨네 트리하우스,김제시,전북특별자치도,35.8530742025,126.8512427729,2724411,,"관광,음식점",,,,,,
송가면옥 함흥냉면,김제시,전북특별자치도,35.8037999066,126.8890267887,1603579,,"관광,음식점",,,,,,
중수원,김제시,전북특별자치도,35.8001835821,126.8849494678,1603451,,"관광,음식점",,,,,,
지평선 한우명품관,김제시,전북특별자치도,35.7546132231,126.8531201463,1603474,,"관광,음식점",,,,,,
총체보리 한우정육식당,김제시,전북특별자치도,35.8366687405,126.9096546543,2754743,,"관광,음식점",,,,,,
카페달밤,김제시,전북특별자치도,35.7252917083,127.0237084939,2899851,,"관광,음식점",,,,,,
콩사랑뚜부장수,김제시,전북특별자치도,35.8065079404,126.8895377843,1603489,,"관광,음식점",,,,,,
