name,region,address_full,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities
남원예촌,남원시,전북특별자치도,35.4044425675,127.3793935943,2528155,,"관광,숙박",,,,,
메이드호텔,남원시,전북특별자치도,35.4055731561,127.3886677452,2528124,,"관광,숙박",,,,,
명지각,남원시,전북특별자치도,35.4050869382,127.3793408038,3469399,,"관광,숙박",,,,,
스테이리운[한국관광 품질인증/Korea Quality],남원시,전북특별자치도,35.4053119073,127.3790241595,2950209,,"관광,숙박",,,,,
오헤브데이호텔,남원시,전북특별자치도,35.4331839129,127.5475557684,3062829,,"관광,숙박",,,,,
지리산대호펜션 (지리산대호관광펜션),남원시,전북특별자치도,35.3502044862,127.5524797179,2618560,,"관광,숙박",,,,,
지리산맑은물펜션,남원시,전북특별자치도,35.3991192711,127.6019851868,914506,,"관광,숙박",,,,,
지리산유스캠프,남원시,전북특별자치도,35.3681337917,127.4374671815,1351056,,"관광,숙박",,,,,
지리산한옥마을,남원시,전북특별자치도,35.418225862,127.6257270373,1908555,,"관광,숙박",,,,,
"코코펜션(구, 와운산장펜션)",남원시,전북특별자치도,35.3630232028,127.5936535296,2394821,,"관광,숙박",,,,,
하정사색,남원시,전북특별자치도,35.4084393876,127.382259904,2961964,,"관광,숙박",,,,,
함파우소리체험관,남원시,전북특별자치도,35.3980961478,127.384307213,3040204,,"관광,숙박",,,,,
달팽이,남원시,전북특별자치도,35.4139789594,127.616602953,2751703,,"관광,숙박",,,,,
리스테이 남원,남원시,전북특별자치도,35.3768238321,127.4003896756,3101959,,"관광,숙박",,,,,
무아게스트하우스,남원시,전북특별자치도,35.4053397903,127.3852680517,2621399,,"관광,숙박",,,,,
수곡당,남원시,전북특별자치도,35.4053397332,127.3819738984,2613382,,"관광,숙박",,,,,
스위트 호텔 남원,남원시,전북특별자치도,35.4081316482,127.4144681765,1844334,,"관광,숙박",,,,,
온정여관(사랑채),남원시,전북특별자치도,35.4073423137,127.3836709188,3101925,,"관광,숙박",,,,,
"온정여관(안채, 별채)",남원시,전북특별자치도,35.4074589642,127.3834959312,3102070,,"관광,숙박",,,,,
지리산프리방스,남원시,전북특별자치도,35.4012049273,127.4302002992,2585278,,"관광,숙박",,,,,
