name,region,address_full,lat,lon,contentid,image_url,tags,keywords,source_file,classification_method
가왕 송흥록·국창 박초월 생가,남원시,전북특별자치도,35.4575758647,127.5626899062,2788127,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
가장마을,남원시,전북특별자치도,35.4101221138,127.5179339854,2793231,,"관광,문화","마을,자연,전통,관광,문화",tour_api_attractions.csv,좌표
광한루,남원시,전북특별자치도,35.4021539472,127.3799713796,1607131,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
광한루원,남원시,전북특별자치도,35.4029038525,127.3793853018,126397,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
구 서도역,남원시,전북특별자치도,35.4898570568,127.3306262502,2660392,,"관광,문화","교통,여행,출발점,연결,자연,전통,관광,문화",tour_api_attractions.csv,좌표
구룡계곡,남원시,전북특별자치도,35.3922568235,127.4810627064,126264,,"관광,자연","계곡,자연,여름,피서,청량,전통,관광",tour_api_attractions.csv,좌표
군화마을,남원시,전북특별자치도,35.4577148782,127.5707003057,2793221,,"관광,문화","마을,자연,전통,관광,문화",tour_api_attractions.csv,좌표
귀정사(남원),남원시,전북특별자치도,35.5124677848,127.4556979287,298100,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
남원 만인의총,남원시,전북특별자치도,35.4183520713,127.3774350742,126381,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
남원 신계리 마애여래좌상,남원시,전북특별자치도,35.4347322452,127.3020496499,250459,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
남원 실상사 석장승,남원시,전북특별자치도,35.4168289559,127.6347929402,1626285,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
남원 아담원,남원시,전북특별자치도,35.4406123944,127.4768423766,2638439,,"관광,자연","자연,전통,관광",tour_api_attractions.csv,좌표
남원 추어마을,남원시,전북특별자치도,35.5317428147,127.423311402,129314,,"관광,문화","마을,자연,전통,관광,문화",tour_api_attractions.csv,좌표
남원 추어탕 거리,남원시,전북특별자치도,35.4005540714,127.3766717134,2613631,,"관광,문화","거리,자연,전통,관광,문화",tour_api_attractions.csv,좌표
남원 황산대첩비지,남원시,전북특별자치도,35.4579285861,127.5617372032,126382,,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화",tour_api_attractions.csv,좌표
남원관광단지,남원시,전북특별자치도,35.4022068955,127.3901038165,126431,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
남원랜드,남원시,전북특별자치도,35.4027429759,127.3918814232,3017615,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
남원몽심재,남원시,전북특별자치도,35.3379944423,127.3747457211,250460,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
남원시 옻칠공예관,남원시,전북특별자치도,35.3954460093,127.3589956291,2714794,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
남원읍성,남원시,전북특별자치도,35.4140497794,127.3773574139,1607188,,"관광,문화","역사,문화재,전통,방어,자연,관광,문화",tour_api_attractions.csv,좌표
남원자연휴양림,남원시,전북특별자치도,35.4570177788,127.4140697206,126939,,"관광,자연","자연,전통,관광",tour_api_attractions.csv,좌표
남원항공우주천문대,남원시,전북특별자치도,35.3991821898,127.3874041336,1607213,,"관광,자연","자연,전통,관광",tour_api_attractions.csv,좌표
남원향교,남원시,전북특별자치도,35.4220656371,127.3830011522,126410,,"관광,문화","서원,교육,유교,역사,전통,다리,건축,경관,도시,교통,자연,관광,문화",tour_api_attractions.csv,좌표
내송마을,남원시,전북특별자치도,35.3978723742,127.4534011141,2793229,,"관광,문화","마을,자연,전통,관광,문화",tour_api_attractions.csv,좌표
노치마을,남원시,전북특별자치도,35.4025060269,127.5017967198,2793212,,"관광,문화","마을,자연,전통,관광,문화",tour_api_attractions.csv,좌표
달궁계곡,남원시,전북특별자치도,35.3709025582,127.5759326655,126268,,"관광,자연","계곡,자연,여름,피서,청량,궁궐,역사,조선,문화재,전통,관광",tour_api_attractions.csv,좌표
대곡리암각화,남원시,전북특별자치도,35.4091408379,127.3102440309,231925,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
대복사(남원),남원시,전북특별자치도,35.4166215587,127.3686220088,299994,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
덕음암(남원),남원시,전북특별자치도,35.4057231825,127.3911675204,300089,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
미륵암(남원),남원시,전북특별자치도,35.3893885888,127.3721640668,309297,,"관광,문화","자연,전통,관광,문화",tour_api_attractions.csv,좌표
