name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
고갯마루,남원시,전북특별자치도,35.4003616349,127.3310285303,2905124,,"관광,음식점",,,,,,
남원 이조갈비,남원시,전북특별자치도,35.4048148018,127.3825127533,2847878,,"관광,음식점",,,,,,
논두렁추어탕,남원시,전북특별자치도,35.4034148718,127.3774271275,2436002,,"관광,음식점",,,,,,
"늘,파인",남원시,전북특별자치도,35.4210321039,127.5243498014,2899828,,"관광,음식점",,,,,,
덕신산장민박식당,남원시,전북특별자치도,35.3645363062,127.5585371445,2787403,,"관광,음식점",,,,,,
두레식당,남원시,전북특별자치도,35.4100224346,127.3760937412,2837170,,"관광,음식점",,,,,,
명문제과,남원시,전북특별자치도,35.4090698759,127.3824876453,2839149,,"관광,음식점",,,,,,
모운,남원시,전북특별자치도,35.4202634456,127.4050242521,3473832,,"관광,음식점",,,,,,
모정엔틱카페,남원시,전북특별자치도,35.4095813662,127.4076548524,2899801,,"관광,음식점",,,,,,
미안커피,남원시,전북특별자치도,35.3987461657,127.3895706199,2851518,,"관광,음식점",,,,,,
미화당,남원시,전북특별자치도,35.4018928278,127.3777688032,3357273,,"관광,음식점",,,,,,
봉가면옥,남원시,전북특별자치도,35.409383932,127.3941810477,2925417,,"관광,음식점",,,,,,
부산집,남원시,전북특별자치도,35.4009706936,127.3768244667,2899204,,"관광,음식점",,,,,,
삼포가든,남원시,전북특별자치도,35.4572847768,127.4348428773,2837197,,"관광,음식점",,,,,,
서남만찬,남원시,전북특별자치도,35.4183191011,127.3981165799,2839167,,"관광,음식점",,,,,,
심원첫집,남원시,전북특별자치도,35.4105701439,127.4076964891,2851494,,"관광,음식점",,,,,,
원동산식당본점,남원시,전북특별자치도,35.5367739308,127.3286224319,2910772,,"관광,음식점",,,,,,
육모정,남원시,전북특별자치도,35.4078506652,127.388028854,2899769,,"관광,음식점",,,,,,
청학동회관,남원시,전북특별자치도,35.4045592538,127.381282313,1604518,,"관광,음식점",,,,,,
카페미드슬로프,남원시,전북특별자치도,35.4252894267,127.3342220482,2877514,,"관광,음식점",,,,,,
커피오소리 로스터스,남원시,전북특별자치도,35.4114224239,127.3845846213,3473671,,"관광,음식점",,,,,,
플래닛커피 남원실상사점,남원시,전북특별자치도,35.4190315374,127.6377870627,3428324,,"관광,음식점",,,,,,
현식당,남원시,전북특별자치도,35.4013984278,127.3770883214,2787205,,"관광,음식점",,,,,,
흥부골남원추어탕,남원시,전북특별자치도,35.4597208111,127.6051888742,2787395,,"관광,음식점",,,,,,
[백년가게]신촌매운탕,남원시,전북특별자치도,35.4101810888,127.3955864588,2616286,,"관광,음식점",,,,,,
갯마을,남원시,전북특별자치도,35.404142653,127.3823655614,1604663,,"관광,음식점",,,,,,
경방루,남원시,전북특별자치도,35.4056118828,127.3795713259,2754746,,"관광,음식점",,,,,,
그랑깨,남원시,전북특별자치도,35.4058812737,127.3782381036,2809877,,"관광,음식점",,,,,,
까치정,남원시,전북특별자치도,35.4135139595,127.3906479204,1604790,,"관광,음식점",,,,,,
남원두부마을,남원시,전북특별자치도,35.4019068973,127.3882817632,1603643,,"관광,음식점",,,,,,
돈궁,남원시,전북특별자치도,35.416733145,127.3967028571,1797994,,"관광,음식점",,,,,,
동막골,남원시,전북특별자치도,35.4074784794,127.3876927819,2820780,,"관광,음식점",,,,,,
들불,남원시,전북특별자치도,35.3901980385,127.4417328993,1798001,,"관광,음식점",,,,,,
무진장아구복전문점,남원시,전북특별자치도,35.4159247571,127.3882925101,1604442,,"관광,음식점",,,,,,
반야돌솥밥,남원시,전북특별자치도,35.4038010293,127.3826155482,1604924,,"관광,음식점",,,,,,
뱀사골 지리산식당,남원시,전북특별자치도,35.3493573189,127.5501355022,1122173,,"관광,음식점",,,,,,
버섯동네큰잔치,남원시,전북특별자치도,35.4144471147,127.386459377,1604719,,"관광,음식점",,,,,,
사랑방,남원시,전북특별자치도,35.4016652874,127.3899593987,1604427,,"관광,음식점",,,,,,
새집추어탕,남원시,전북특별자치도,35.4004512815,127.3753468331,135890,,"관광,음식점",,,,,,
선비고을,남원시,전북특별자치도,35.4031317803,127.3895149555,1985790,,"관광,음식점",,,,,,
오장동함흥면옥 숯불갈비,남원시,전북특별자치도,35.4173247294,127.3958584717,1604609,,"관광,음식점",,,,,,
자연을 닮은 사람들,남원시,전북특별자치도,35.4027741402,127.4271227532,1798107,,"관광,음식점",,,,,,
지리산 나물밥,남원시,전북특별자치도,35.4573654453,127.6008171,1907219,,"관광,음식점",,,,,,
지리산한우마을/축산물마트,남원시,전북특별자치도,35.4609150037,127.5985088774,1798533,,"관광,음식점",,,,,,
춘원회관,남원시,전북특별자치도,35.4020957248,127.3859708516,1604948,,"관광,음식점",,,,,,
친절식당,남원시,전북특별자치도,35.4011567882,127.3771161026,1604938,,"관광,음식점",,,,,,
카페 광한루,남원시,전북특별자치도,35.4039342705,127.3781742709,3075782,,"관광,음식점",,,,,,
한우회관,남원시,전북특별자치도,35.4057757767,127.3809267577,1604505,,"관광,음식점",,,,,,
향우정,남원시,전북특별자치도,35.4015483932,127.3761161812,1604836,,"관광,음식점",,,,,,
흥부네 대청마루,남원시,전북특별자치도,35.4147720836,127.3868148929,1604867,,"관광,음식점",,,,,,
[백년가게]3대원조할매추어탕,남원시,전북특별자치도,35.4033843999,127.3820461648,2616069,,"관광,음식점",,,,,,
