name,region,address_full,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities
기린모텔,무주군,전북특별자치도,36.0076401692,127.6592195217,2593245,,"관광,숙박",,,,,
눈꽃여행,무주군,전북특별자치도,35.9124582874,127.7567356523,2575832,,"관광,숙박",,,,,
다숲펜션[한국관광 품질인증/Korea Quality],무주군,전북특별자치도,35.8993934347,127.7752121438,2652800,,"관광,숙박",,,,,
라이브풍경펜션,무주군,전북특별자치도,35.9931796262,127.5986475168,2445661,,"관광,숙박",,,,,
무주 해바라기펜션 호스텔,무주군,전북특별자치도,35.8972075657,127.7749094518,2593255,,"관광,숙박",,,,,
무주덕유산리조트 국민호텔,무주군,전북특별자치도,35.879081303,127.7443793143,589340,,"관광,숙박",,,,,
무주덕유산리조트 호텔티롤,무주군,전북특별자치도,35.8897992986,127.731394066,142988,,"관광,숙박",,,,,
무주리조텔,무주군,전북특별자치도,35.9081952848,127.7792865457,2528584,,"관광,숙박",,,,,
무주스키텔,무주군,전북특별자치도,35.9095669153,127.7548581195,1836508,,"관광,숙박",,,,,
무주오리펜션,무주군,전북특별자치도,35.9067701202,127.7609798744,2996545,,"관광,숙박",,,,,
무주펜션 꿈꾸는나무별,무주군,전북특별자치도,35.8994267541,127.7746594148,3044583,,"관광,숙박",,,,,
무주펜션 산새소리,무주군,전북특별자치도,35.898665726,127.7744955609,3049863,,"관광,숙박",,,,,
무주해바라기펜션,무주군,전북특별자치도,35.8971714591,127.7748900101,2570688,,"관광,숙박",,,,,
문리버펜션,무주군,전북특별자치도,35.8815129554,127.8213085401,2594157,,"관광,숙박",,,,,
설국펜션,무주군,전북특별자치도,35.9081453079,127.7802642372,1883082,,"관광,숙박",,,,,
스노우밸리펜션(스노우밸리),무주군,전북특별자치도,35.9091364046,127.754613708,2572009,,"관광,숙박",,,,,
토비스콘도 무주,무주군,전북특별자치도,35.8871261972,127.8207695473,137886,,"관광,숙박",,,,,
귀빈산장펜션,무주군,전북특별자치도,35.8979991362,127.7745233537,3044524,,"관광,숙박",,,,,
무주 다다펜션,무주군,전북특별자치도,35.9091809006,127.7577912024,2624186,,"관광,숙박",,,,,
무주아일랜드,무주군,전북특별자치도,35.908842057,127.7581883986,3049312,,"관광,숙박",,,,,
수채화산장,무주군,전북특별자치도,35.89974896,127.7758009706,3469497,,"관광,숙박",,,,,
양지 뜰 펜션(무주양지뜰펜션),무주군,전북특별자치도,35.9073646256,127.7681903294,2699322,,"관광,숙박",,,,,
호두나무펜션,무주군,전북특별자치도,35.9070922861,127.7598744072,3469692,,"관광,숙박",,,,,
