name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
관음사(무주),무주군,전북특별자치도,36.0002266027,127.7855834976,1581045,,문화·역사
구봉산(진안),무주군,전북특별자치도,35.9244446218,128.0000220992,127507,산,야외활동;힐링·여유;사진 스팟
구천동계곡,무주군,전북특별자치도,35.9007210587,127.7750676763,127742,산;강·호수,야외활동;힐링·여유;사진 스팟
국립 덕유산자연휴양림,무주군,전북특별자치도,35.908143148,127.8148028419,125416,산;숲,힐링·여유;체험형;야외활동
덕유산국립공원 적상전망대,무주군,전북특별자치도,35.9564439155,127.6985201886,2737304,산,야외활동;사진 스팟
"덕유산국립공원(본소,적상분소)",무주군,전북특별자치도,35.9007210596,127.7751204501,126238,산,야외활동;힐링·여유;사진 스팟
도산서원(무주),무주군,전북특별자치도,35.8718891031,127.6684640178,1581236,,문화·역사
라제통문,무주군,전북특별자치도,35.9957994958,127.7949716734,250140,,문화·역사;사진 스팟
무주 구천동 33경,무주군,전북특별자치도,35.8594783706,127.766638979,127031,산;강·호수,야외활동;사진 스팟;힐링·여유
무주 구천동 관광특구,무주군,전북특별자치도,35.899207361,127.7761537319,1624914,산;강·호수,야외활동;체험형;사진 스팟
무주 금척마을(금자마을),무주군,전북특별자치도,35.9698179101,127.8825896044,802004,산,체험형;힐링·여유
무주 무풍승지마을,무주군,전북특별자치도,35.9600432516,127.8397047845,1933854,산,체험형;힐링·여유
무주 삼공리 반송,무주군,전북특별자치도,35.9112032389,127.7771866504,709075,산;숲,힐링·여유;사진 스팟
무주 신풍령약수터,무주군,전북특별자치도,35.870786203,127.810520896,126768,산;강·호수,체험형;힐링·여유
무주 지전마을 옛 담장,무주군,전북특별자치도,36.0271450456,127.7455474342,128950,,문화·역사
무주구천동 월하탄 계곡,무주군,전북특별자치도,35.8903833785,127.7769788969,2606127,산;강·호수,야외활동;힐링·여유;사진 스팟
무주국제화교육센터,무주군,전북특별자치도,36.00201311,127.663461,790325,,체험형
무주덕유산리조트 가족호텔,무주군,전북특별자치도,35.879081303,127.7443793143,136230,산,힐링·여유;레저·액티비티
무주머루와인동굴,무주군,전북특별자치도,35.9649651515,127.6975367135,778333,산,먹거리 탐방;체험형
무주목재문화체험장,무주군,전북특별자치도,36.0245329188,127.6720095954,3040153,숲,체험형;힐링·여유
무주한풍루,무주군,전북특별자치도,36.003982308,127.6623665624,127627,,문화·역사;사진 스팟
백련사(무주),무주군,전북특별자치도,35.8606393491,127.7665945072,126360,산,문화·역사;힐링·여유
백산서원(무주),무주군,전북특별자치도,35.9718309636,127.8487897699,1580198,,문화·역사
북고사(무주),무주군,전북특별자치도,36.0173779546,127.659497012,317500,산,문화·역사;힐링·여유
분양서원,무주군,전북특별자치도,35.9548552709,127.8574727941,1580147,,문화·역사
샤또무주,무주군,전북특별자치도,35.9003778055,127.839498085,1853250,산,먹거리 탐방;힐링·여유
설천봉,무주군,전북특별자치도,35.8665438159,127.7431186518,2704644,산,야외활동;사진 스팟
오산리 구상화강편마암,무주군,전북특별자치도,36.024650081,127.7005348349,2932009,산,야외활동;사진 스팟
인월담,무주군,전북특별자치도,35.881220579,127.7797039026,2606128,강·호수,야외활동;사진 스팟;힐링·여유
일성무주콘도&리조트,무주군,전북특별자치도,35.9790269734,127.8267998592,137762,산,힐링·여유;레저·액티비티
적상산사고지,무주군,전북특별자치도,35.9486447326,127.6946151904,126910,산,문화·역사;사진 스팟
천일폭포,무주군,전북특별자치도,35.957165925,127.6911847092,1580917,산;강·호수,야외활동;사진 스팟;힐링·여유
치목삼베마을,무주군,전북특별자치도,35.9309664552,127.7096393329,790419,산,체험형;문화·역사
칠연계곡,무주군,전북특별자치도,35.8378046467,127.7000565741,126558,산;강·호수,야외활동;힐링·여유;사진 스팟
칠연의총,무주군,전북특별자치도,35.8377185689,127.7013842366,252577,산,문화·역사
파회계곡,무주군,전북특별자치도,35.928175892,127.7537521598,2606138,산;강·호수,야외활동;힐링·여유;사진 스팟
향산사(무주),무주군,전북특별자치도,36.010014894,127.6589528139,485744,,문화·역사;힐링·여유
향적봉(덕유산),무주군,전북특별자치도,35.8602445989,127.7469184844,1705213,산,야외활동;사진 스팟;힐링·여유
내도리강변유원지,무주군,전북특별자치도,36.0167416587,127.6450649779,1580015,강·호수,체험형;야외활동;힐링·여유
덕천서원(무주),무주군,전북특별자치도,35.9976188549,127.8017710201,1580464,,문화·역사
무주 반디랜드,무주군,전북특별자치도,36.0132357529,127.7587605263,129561,숲,체험형;힐링·여유;사진 스팟
무주 적상산성,무주군,전북특별자치도,35.9544772105,127.6838104366,126908,산,문화·역사;사진 스팟
무주 트리스쿨,무주군,전북특별자치도,35.9784738998,127.651146025,129566,산,체험형;레저·액티비티
무주 향로산 자연휴양림,무주군,전북특별자치도,36.0240523805,127.6699125722,2706626,산;숲,힐링·여유;체험형;야외활동
무주 호롱불마을,무주군,전북특별자치도,36.0171067381,127.714147718,2002500,산,체험형;힐링·여유
무주향교,무주군,전북특별자치도,36.0079263672,127.6659411385,129562,,문화·역사
서벽정,무주군,전북특별자치도,35.9586393505,127.7680111833,790362,,문화·역사;사진 스팟
안국사(무주),무주군,전북특별자치도,35.945245076,127.6921571662,126354,산,문화·역사;힐링·여유
용추폭포(무주),무주군,전북특별자치도,35.842556579,127.6828440841,252576,산;강·호수,야외활동;사진 스팟;힐링·여유
원통사(무주),무주군,전북특별자치도,35.8186679171,127.6992793779,347011,산,문화·역사;힐링·여유
원통사지,무주군,전북특별자치도,35.8186679171,127.6992793779,1580315,산,문화·역사
적상산,무주군,전북특별자치도,35.9425120499,127.6919628124,127741,산,야외활동;힐링·여유;사진 스팟
적상산성 호국사비,무주군,전북특별자치도,35.9452367363,127.6917905324,1580402,산,문화·역사
죽계서원(무주),무주군,전북특별자치도,35.8454722433,127.645014028,1957076,,문화·역사
김환태문학관&최북미술관,무주군,전북특별자치도 무주군 무주읍 최북로 15,,,2606139,,문화·역사
무주 반디별 천문과학관,무주군,전북특별자치도 무주군 설천면 무설로 1324,,,3376308,산,체험형;힐링·여유;야외활동
무주 산골영화관,무주군,전북특별자치도 무주군 무주읍 한풍루로 326-17,,,2609506,,문화·역사;체험형
무주양수홍보관,무주군,전북특별자치도 무주군 적상면 괴목로 788,,,130909,,체험형;문화·역사
무주예체문화관,무주군,전북특별자치도 무주군 무주읍 한풍루로 326-17,,,130404,,문화·역사
태권도원,무주군,전북특별자치도 무주군 설천면 무설로 1482,,,1904335,산,체험형;레저·액티비티;문화·역사
무주국가유산야행,무주군,전북특별자치도 무주군 무주읍 한풍루로 326-5,,,2986574,,축제·이벤트;문화·역사
무주반딧불축제,무주군,전북특별자치도 무주군 무주읍 한풍루로 326-17,,,506523,,축제·이벤트;체험형;사진 스팟
제13회 무주산골영화제,무주군,전북특별자치도 무주군 무주읍 한풍루로 326-14,,,2642632,,축제·이벤트;문화·역사
구천동 어사길,무주군,전북특별자치도 무주군 설천면 구천동1로 159,,,2673996,산;숲,체험형;야외활동;힐링·여유
국가대표,무주군,전북특별자치도 무주군 설천면 구천동로 1101,,,510546,산,레저·액티비티;체험형
그날카라반,무주군,전북특별자치도 무주군 내배방길 15-31,,,2749644,산,힐링·여유;체험형
그랜드스키타운,무주군,전북특별자치도 무주군 설천면 만선로 74-1,,,507746,산,레저·액티비티;체험형
깊은골캠핑장,무주군,전북특별자치도 무주군 설천면 구천동로 1284-6,,,2727286,산;숲,체험형;힐링·여유
노블스키샵,무주군,전북특별자치도 무주군 설천면 구천동로 1083-11,,,508237,산,레저·액티비티
더하루야영장,무주군,전북특별자치도 무주군 무풍면 구천동로 543,,,2747629,산,체험형;힐링·여유
덕유대3야영장,무주군,전북특별자치도 무주군 설천면 백련사길 2,,,3341359,산;숲,체험형;야외활동;힐링·여유
덕유대오토캠핑장,무주군,전북특별자치도 무주군 설천면 백련사길 2,,,2734227,산;숲,체험형;힐링·여유
덕유캠프농장,무주군,전북특별자치도 무주군 설천면 구천동로 1262-4,,,2729290,산;숲,체험형;힐링·여유
리틀프린스 스키샵,무주군,전북특별자치도 무주군 설천면 만선로 34-1,,,507759,산,레저·액티비티
