name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
가든카페 명천마루,무주군,전북특별자치도,35.8329326323,127.6806389816,2877540,,"관광,음식점",,,,,,
가족마당,무주군,전북특별자치도,35.9047480294,127.7554693059,135563,,"관광,음식점",,,,,,
강나루,무주군,전북특별자치도,36.0163167003,127.6446650253,1014287,,"관광,음식점",,,,,,
강변가든,무주군,전북특별자치도,35.9988763422,127.6066466527,133229,,"관광,음식점",,,,,,
또랑카페,무주군,전북특별자치도,35.9651292871,127.7124242756,2923441,,"관광,음식점",,,,,,
무심원,무주군,전북특별자치도,36.0114943425,127.7619852873,3468231,,"관광,음식점",,,,,,
무주농원,무주군,전북특별자치도,35.9069312078,127.7606882284,2837211,,"관광,음식점",,,,,,
무주뚝배기,무주군,전북특별자치도,35.9070449811,127.7549387356,2855337,,"관광,음식점",,,,,,
무주오리,무주군,전북특별자치도,35.9067701202,127.7609798744,2996465,,"관광,음식점",,,,,,
무주창고,무주군,전북특별자치도,35.920580998,127.6800783471,2837230,,"관광,음식점",,,,,,
산들애,무주군,전북특별자치도,35.9077754799,127.7564191401,2855356,,"관광,음식점",,,,,,
섬마을,무주군,전북특별자치도,36.0167416587,127.6450649779,135771,,"관광,음식점",,,,,,
시골집가든,무주군,전북특별자치도,35.9075533598,127.7607159876,2679618,,"관광,음식점",,,,,,
예촌본가,무주군,전북특별자치도,35.9074755135,127.7563941504,2789437,,"관광,음식점",,,,,,
우리마을,무주군,전북특별자치도,35.9087226476,127.7594021838,135618,,"관광,음식점",,,,,,
전북제사1970,무주군,전북특별자치도,36.0104986622,127.6864448026,2837243,,"관광,음식점",,,,,,
정원산책,무주군,전북특별자치도,35.8519973748,127.694148384,2877560,,"관광,음식점",,,,,,
천마루,무주군,전북특별자치도,35.841239495,127.650894175,2759663,,"관광,음식점",,,,,,
카페 브라운,무주군,전북특별자치도,35.8782050072,127.8218391379,2905139,,"관광,음식점",,,,,,
캠브런치,무주군,전북특별자치도,35.9231015636,127.7590796025,2905150,,"관광,음식점",,,,,,
고구려가든,무주군,전북특별자치도,35.9053368609,127.7560136865,135564,,"관광,음식점",,,,,,
금강식당,무주군,전북특별자치도,36.0076124471,127.6621748152,135886,,"관광,음식점",,,,,,
모든이의하우스,무주군,전북특별자치도,36.0073541409,127.6620526112,1590356,,"관광,음식점",,,,,,
별미가든,무주군,전북특별자치도,35.9069619601,127.7719122326,135887,,"관광,음식점",,,,,,
전주식당,무주군,전북특별자치도,35.8984824575,127.7769564578,579399,,"관광,음식점",,,,,,
천지가든,무주군,전북특별자치도,36.003518844,127.6832508306,133980,,"관광,음식점",,,,,,
청기와한식,무주군,전북특별자치도,35.8980575015,127.7767009369,1590658,,"관광,음식점",,,,,,
하얀섬금강민물,무주군,전북특별자치도,35.950133821,127.7153049798,2364931,,"관광,음식점",,,,,,
한국관,무주군,전북특별자치도,35.9002211488,127.7769230809,135889,,"관광,음식점",,,,,,
