name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
가력도항,부안군,전북특별자치도,35.7269248004,126.5314023248,2743285,바다,체험형;먹거리 탐방;사진 스팟
간재선생유지,부안군,전북특별자치도,35.7943022476,126.63718561,1608562,,문화·역사
개암사,부안군,전북특별자치도,35.6628507594,126.6498267208,126346,산,문화·역사;힐링·여유;사진 스팟
고부향교,부안군,전북특별자치도,35.6216686028,126.7707336667,1625224,,문화·역사
남문안당산,부안군,전북특별자치도,35.7308250252,126.7349562885,250308,,문화·역사;체험형
남복리오층석탑,부안군,전북특별자치도,35.615322232,126.7783664828,1626573,,문화·역사
남산서원(김제),부안군,전북특별자치도,35.8403168659,126.82459548,1956442,,문화·역사
만경향교,부안군,전북특별자치도,35.8543318756,126.8210759876,1599284,,문화·역사
매창공원,부안군,전북특별자치도,35.7188235074,126.7287210396,1608758,,힐링·여유;사진 스팟
변산해수욕장,부안군,전북특별자치도,35.6787274928,126.5303730814,126287,바다,야외활동;레저·액티비티;사진 스팟;힐링·여유
부안 동문안 당산,부안군,전북특별자치도,35.7355133827,126.7350672696,231908,,문화·역사;체험형
부안다목적댐,부안군,전북특별자치도,35.6728426248,126.5644257488,252580,강·호수,체험형;힐링·여유
부안댐 가족공원,부안군,전북특별자치도,35.6737591637,126.5630314054,3042004,강·호수,체험형;힐링·여유;사진 스팟
부안청림천문대,부안군,전북특별자치도,35.6577563134,126.6154326936,2588636,산,체험형;야외활동;힐링·여유
새만금,부안군,전북특별자치도,35.6967342617,126.559192277,776934,바다,체험형;사진 스팟;힐링·여유
새만금환경생태단지,부안군,전북특별자치도,35.7405746353,126.6136474148,2939800,강·호수;바다,체험형;힐링·여유;야외활동
서외리 당간지주,부안군,전북특별자치도,35.729569509,126.7288790851,1608928,,문화·역사
성황사(부안),부안군,전북특별자치도,35.7354549867,126.7309815248,319569,산,문화·역사;힐링·여유
신석정 고택,부안군,전북특별자치도,35.7399323108,126.7342838931,127430,,문화·역사
신재생에너지 테마파크,부안군,전북특별자치도,35.7104583509,126.5977495998,2469060,,체험형;야외활동
아리랑문학마을,부안군,전북특별자치도,35.7743969017,126.8425483574,2778525,,문화·역사;체험형
용흥리 해정사지 석탑,부안군,전북특별자치도,35.6230989139,126.7659118371,1627638,,문화·역사
율산서원(김제),부안군,전북특별자치도,35.7950278109,126.8381176644,1957057,,문화·역사
잼버리 공원,부안군,전북특별자치도,35.7077334508,126.5853229994,2564150,바다,야외활동;체험형;사진 스팟
정읍 은선리 삼층석탑,부안군,전북특별자치도,35.6438664703,126.7936727247,1627461,,문화·역사
청계서원(부안),부안군,전북특별자치도,35.6717946935,126.6797599367,1957090,,문화·역사
청호수마을,부안군,전북특별자치도,35.7288905588,126.6552495566,3041977,강·호수,힐링·여유;체험형;야외활동
후지리탑동석불,부안군,전북특별자치도,35.6388555268,126.770044401,1627641,,문화·역사
계화도,부안군,전북특별자치도,35.7890027689,126.6323167359,1624939,섬,힐링·여유;야외활동;사진 스팟
고사부리성(고부구읍성),부안군,전북특별자치도,35.6246710103,126.7690254087,126390,산,문화·역사;사진 스팟
고홍건신도비,부안군,전북특별자치도,35.7267128018,126.6418424751,1608625,,문화·역사
변산 해수찜,부안군,전북특별자치도,35.6927400955,126.5487155348,3076330,바다,체험형;힐링·여유
보령서원,부안군,전북특별자치도,35.6574544002,126.6645283253,1956995,,문화·역사
부안 구암리 지석묘군,부안군,전북특별자치도,35.7080679175,126.6545640374,126394,,문화·역사
부안향교,부안군,전북특별자치도,35.7314192819,126.7278457962,1608822,,문화·역사
비안도,부안군,전북특별자치도,35.736822436,126.4579114143,127881,섬,힐링·여유;야외활동;사진 스팟
삼불암,부안군,전북특별자치도,35.7720490354,126.7892087281,1599606,산,문화·역사;힐링·여유
송포항,부안군,전북특별자치도,35.6755416823,126.5267123773,2743337,바다,체험형;먹거리 탐방;사진 스팟
우금산성,부안군,전북특별자치도,35.6673725467,126.6544789688,126376,산,문화·역사;야외활동
이매창묘,부안군,전북특별자치도,35.7188790568,126.7287182612,1610111,,문화·역사
장문리오층석탑,부안군,전북특별자치도,35.6287457561,126.7813131001,1627528,,문화·역사
청림리 석불좌상,부안군,전북특별자치도,35.6628091007,126.6499794861,1610285,,문화·역사
청호저수지,부안군,전북특별자치도,35.7366870569,126.6648762769,1610389,강·호수,힐링·여유;야외활동
금구원야외조각미술관,부안군,전북특별자치도 부안군 변산면 조각공원길 31,,,252581,산,문화·역사;사진 스팟
부안누에타운,부안군,전북특별자치도 부안군 변산면 참뽕로 434-20,,,2037459,,체험형;문화·역사
부안댐 물문화관,부안군,전북특별자치도 부안군 변산면 부안댐로 280-26,,,1608766,강·호수,체험형;힐링·여유
부안문화원,부안군,전북특별자치도 부안군 부안읍 매창1길 25,,,130194,,문화·역사
부안예술회관,부안군,전북특별자치도 부안군 부안읍 예술회관길 11,,,1755818,,문화·역사;축제·이벤트
부안청자박물관,부안군,전북특별자치도 부안군 보안면 청자로 1493,,,2405938,,문화·역사;체험형
새만금 메타버스 체험관,부안군,전북특별자치도 부안군 하서면 신재생에너지로 20-19,,,3114489,,체험형;야외활동
새만금홍보관,부안군,전북특별자치도 부안군 변산면 새만금로 6,,,2946239,바다,체험형;사진 스팟;문화·역사
석정문학관,부안군,전북특별자치도 부안군 부안읍 선은1길 10,,,2564147,,문화·역사
휘목아트타운 미술관,부안군,전북특별자치도 부안군 진서면 운호길 10,,,2606141,산,문화·역사;힐링·여유
부안 설(雪)숭어 축제,부안군,전북특별자치도 부안군 부안읍 서외리,,,2930662,바다,축제·이벤트;먹거리 탐방
부안곰소젓갈축제,부안군,전북특별자치도 부안군 진서면 곰소7길 16,,,3372852,바다,축제·이벤트;먹거리 탐방
부안마실축제,부안군,전북특별자치도 부안군 부안읍 별천지로 3,,,1560363,,축제·이벤트;문화·역사
부안붉은노을축제,부안군,전북특별자치도 부안군 변산면 대항리,,,2933008,바다,축제·이벤트;사진 스팟
한국동시축제,부안군,전북특별자치도 부안군 부안읍 선은1길 10,,,3401872,,축제·이벤트;문화·역사
고사포야영장,부안군,전북특별자치도 부안군 변산면 변산해변로 765,,,2726716,바다,야외활동;레저·액티비티;힐링·여유
내소힐링캠프,부안군,전북특별자치도 부안군 진서면 원암길 49-6,,,2728571,산,힐링·여유;야외활동
돌개마실 캠핑장,부안군,전북특별자치도 부안군 진서면 구룡댐길 65,,,2745728,강·호수,야외활동;체험형
