name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
개암곰탕,부안군,전북특별자치도,35.6482666424,126.6696197718,2840125,,"관광,음식점",,,,,,
김인경원조바지락죽,부안군,전북특별자치도,35.6916377143,126.5647807961,134782,,"관광,음식점",,,,,,
변산물회해물국밥,부안군,전북특별자치도,35.6749528605,126.5266985048,2871105,,"관광,음식점",,,,,,
선은재카페,부안군,전북특별자치도,35.7393629939,126.7379613578,2905199,,"관광,음식점",,,,,,
신생반점,부안군,전북특별자치도,35.7290252795,126.7378560759,2840173,,"관광,음식점",,,,,,
"알땅카페 (전, 핀아드레 카페)",부안군,전북특별자치도,35.7452822068,126.7639033377,2840507,,"관광,음식점",,,,,,
카페쿠숑,부안군,전북특별자치도,35.6785275163,126.5304369695,2871026,,"관광,음식점",,,,,,
할매피순대,부안군,전북특별자치도,35.7185011609,126.7192496704,2840179,,"관광,음식점",,,,,,
형제골뼈다귀순대국,부안군,전북특별자치도,35.7246119527,126.7413669873,2840816,,"관광,음식점",,,,,,
[백년가게]계화회관,부안군,전북특별자치도,35.7291164747,126.7107084939,2607968,,"관광,음식점",,,,,,
당산마루,부안군,전북특별자치도,35.7306944226,126.7312760641,134397,,"관광,음식점",,,,,,
변산온천산장,부안군,전북특별자치도,35.6885962884,126.5585480964,134273,,"관광,음식점",,,,,,
조개미집,부안군,전북특별자치도,35.6944788554,126.5528040147,1986919,,"관광,음식점",,,,,,
