name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
강천사 모과나무,순창군,전북특별자치도,35.3987570781,127.0556862716,2357460,산,문화·역사;힐링·여유
강천사(순창),순창군,전북특별자치도,35.3984154482,127.0555668463,126347,산,문화·역사;힐링·여유;사진 스팟
강천사계곡,순창군,전북특별자치도,35.3984987787,127.0559612538,1625118,산;강·호수,야외활동;힐링·여유;사진 스팟
강천산휴양농원,순창군,전북특별자치도,35.4277205858,127.0627071317,127651,산;숲,힐링·여유;체험형
구담마을,순창군,전북특별자치도,35.4924487956,127.1911829756,129656,강·호수,체험형;힐링·여유
구송정 유원지,순창군,전북특별자치도,35.4306954797,127.2377304453,2357444,강·호수,야외활동;체험형;힐링·여유
구장군폭포,순창군,전북특별자치도,35.4083228536,127.0668822579,1610474,산;강·호수,야외활동;사진 스팟
국립임실호국원,순창군,전북특별자치도,35.5507893785,127.1895732782,1586632,,문화·역사
달빛곳간,순창군,전북특별자치도,35.4927858852,127.2500360869,3354268,,먹거리 탐방;체험형
만일사(순창),순창군,전북특별자치도,35.4858371666,127.1175924451,126336,산,문화·역사;힐링·여유
매월당,순창군,전북특별자치도,35.3489053382,127.2729127709,2660381,,문화·역사
병풍폭포,순창군,전북특별자치도,35.4081700885,127.0666322839,988215,산;강·호수,야외활동;사진 스팟;힐링·여유
사곡리남근석,순창군,전북특별자치도,35.5175929562,127.1788723069,129657,산,문화·역사;사진 스팟
산동리 남근석,순창군,전북특별자치도,35.3838871112,127.0891225791,2357431,산,문화·역사;사진 스팟
석산리 마애여래좌상,순창군,전북특별자치도,35.444365408,127.1944117056,2357456,,문화·역사
섬진강,순창군,전북특별자치도,35.3376773859,127.1890371411,1610774,강·호수,야외활동;힐링·여유;사진 스팟
섬진강(천담,구담),순창군,전북특별자치도,35.4848607562,127.1905971118,127924,강·호수,야외활동;힐링·여유
섬진강댐,순창군,전북특별자치도,35.5423917655,127.1116804032,1185879,강·호수,체험형;힐링·여유
순창 거북장수마을 [농촌전통테마],순창군,전북특별자치도,35.4438129878,127.2115574238,800971,산,체험형;문화·역사
순창 쉴랜드,순창군,전북특별자치도,35.4315879963,127.1316037073,2713440,산;숲,힐링·여유;체험형
순창 전통고추장 민속마을,순창군,전북특별자치도,35.3669032664,127.1091962359,1614506,,체험형;먹거리 탐방;문화·역사
순창 향가터널,순창군,전북특별자치도,35.3402742767,127.1868344916,2616353,산,사진 스팟;야외활동
순창고추장익는마을,순창군,전북특별자치도,35.4828458077,127.1157899039,128422,,체험형;먹거리 탐방;문화·역사
순창군 채계산 출렁다리,순창군,전북특별자치도,35.4125281109,127.2388724788,2654773,산,레저·액티비티;사진 스팟;야외활동
순창앵무새팜,순창군,전북특별자치도,35.3236086647,127.1384808605,3358353,,체험형;레저·액티비티
순창장류체험관,순창군,전북특별자치도,35.365886695,127.1080408086,1437668,,체험형;먹거리 탐방
