name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
강나루횟집,순창군,전북특별자치도,35.598074293,127.109037534,2837920,,"관광,음식점",,,,,,
그랑게,순창군,전북특별자치도,35.5946329993,127.1080154924,2910676,,"관광,음식점",,,,,,
돈까스클라스,순창군,전북특별자치도,35.3778997131,127.1365574215,2905554,,"관광,음식점",,,,,,
미소식당,순창군,전북특별자치도,35.3759054565,127.1343576672,2902192,,"관광,음식점",,,,,,
미스티,순창군,전북특별자치도,35.5953718123,127.1084765434,2910699,,"관광,음식점",,,,,,
미텐발트,순창군,전북특별자치도,35.5972160677,127.1096597236,3067800,,"관광,음식점",,,,,,
베르자르당,순창군,전북특별자치도,35.3652873549,127.1425711011,2717157,,"관광,음식점",,,,,,
산경,순창군,전북특별자치도,35.3785491434,127.1076155221,2873623,,"관광,음식점",,,,,,
산솔,순창군,전북특별자치도,35.4088783816,127.0689459496,2905575,,"관광,음식점",,,,,,
상록수,순창군,전북특별자치도,35.5916666311,127.1058102085,2837936,,"관광,음식점",,,,,,
새집,순창군,전북특별자치도,35.3731475841,127.1430236371,2926926,,"관광,음식점",,,,,,
섬진강,순창군,전북특별자치도,35.5292885174,127.1594070635,2923397,,"관광,음식점",,,,,,
성심회관,순창군,전북특별자치도,35.5302995332,127.1605347156,1021421,,"관광,음식점",,,,,,
옥정호산장,순창군,전북특별자치도,35.5940024562,127.1045908121,2779444,,"관광,음식점",,,,,,
옥천골한정식,순창군,전북특별자치도,35.3709838889,127.1400489559,1017720,,"관광,음식점",,,,,,
정자나무가든,순창군,전북특별자치도,35.4900951511,127.1253805342,135882,,"관광,음식점",,,,,,
진도식당,순창군,전북특별자치도,35.4523268112,127.1023279914,2873652,,"관광,음식점",,,,,,
카페오늘,순창군,전북특별자치도,35.3728919438,127.1364047855,2905251,,"관광,음식점",,,,,,
코티지683,순창군,전북특별자치도,35.5951553918,127.1213170753,2837982,,"관광,음식점",,,,,,
하루,순창군,전북특별자치도,35.603809825,127.1131870182,2837999,,"관광,음식점",,,,,,
향가산장,순창군,전북특별자치도,35.3382106448,127.1882122006,2842151,,"관광,음식점",,,,,,
화탄매운탕,순창군,전북특별자치도,35.3902743662,127.1978350146,2905267,,"관광,음식점",,,,,,
2대째순대,순창군,전북특별자치도,35.3713367106,127.1449318486,2837268,,"관광,음식점",,,,,,
강천골식당,순창군,전북특별자치도,35.4085950781,127.068820968,1985854,,"관광,음식점",,,,,,
산호가든,순창군,전북특별자치도,35.4110671442,127.076053598,1607058,,"관광,음식점",,,,,,
순창맛집,순창군,전북특별자치도,35.3685753113,127.1099405718,2507466,,"관광,음식점",,,,,,
애뜨락,순창군,전북특별자치도,35.5895085414,127.1057324937,2839305,,"관광,음식점",,,,,,
영빈회관,순창군,전북특별자치도,35.3746946368,127.1433374589,1607134,,"관광,음식점",,,,,,
장구목가든,순창군,전북특별자치도,35.4699457581,127.1893976025,1907250,,"관광,음식점",,,,,,
중앙회관,순창군,전북특별자치도,35.3735058639,127.142270917,1607042,,"관광,음식점",,,,,,
