name,region,address_full,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities
녹운재,완주군,전북특별자치도,35.9028641921,127.2425815969,2049307,,"관광,숙박",,,,,
대승한지마을한옥전통문화체험관,완주군,전북특별자치도,35.8540512032,127.2941671834,2047895,,"관광,숙박",,,,,
소양고택 한옥스테이,완주군,전북특별자치도,35.9031141763,127.2433009708,2622784,,"관광,숙박",,,,,
청풍헌(시랑골한옥스테이),완주군,전북특별자치도,35.9796386198,127.2332915073,2570188,,"관광,숙박",,,,,
행복드림한옥,완주군,전북특별자치도,35.9054716539,127.209637239,1884345,,"관광,숙박",,,,,
공유한옥,완주군,전북특별자치도,36.051364435,127.2708918084,3101968,,"관광,숙박",,,,,
대둔산호텔,완주군,전북특별자치도,36.1162303106,127.3307375181,142942,,"관광,숙박",,,,,
소양고요,완주군,전북특별자치도,35.8218268763,127.2819191208,2760056,,"관광,숙박",,,,,
아원,완주군,전북특별자치도,35.9035919243,127.2447091661,2637672,,"관광,숙박",,,,,
전통문화체험장,완주군,전북특별자치도,35.9892268998,127.2609637871,2583187,,"관광,숙박",,,,,
화이트모텔,완주군,전북특별자치도,35.9807716703,127.3829114844,1632474,,"관광,숙박",,,,,
