name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
갈거계곡,완주군,전북특별자치도,35.9085419668,127.4377085322,129681,강·호수;숲,야외활동;힐링·여유;사진 스팟
경천저수지,완주군,전북특별자치도,36.0381431707,127.2395171794,2784663,강·호수,힐링·여유;야외활동;사진 스팟
고산문화공원,완주군,전북특별자치도,35.974214201,127.231225168,3345112,,힐링·여유;문화·역사;사진 스팟
고산자연휴양림,완주군,전북특별자치도,35.9629766259,127.2331252962,127533,숲,힐링·여유;체험형;야외활동
고산향교,완주군,전북특별자치도,35.976113679,127.2137377876,1612565,,문화·역사
국립 운장산자연휴양림,완주군,전북특별자치도,35.8963458988,127.4244517017,127169,산;숲,힐링·여유;야외활동;체험형
기차산 해골바위,완주군,전북특별자치도,35.9701444451,127.3455178741,2814812,산,야외활동;사진 스팟
농업회사법인 주식회사 공동체공간 수작,완주군,전북특별자치도,35.9420628673,127.2631953933,2995169,,체험형;문화·역사
달달구리(주식회사달달구리),완주군,전북특별자치도,35.9386699052,127.1668457321,2995167,,먹거리 탐방;체험형
대둔산도립공원(전북),완주군,전북특별자치도,36.1172885601,127.3328123047,127673,산,야외활동;힐링·여유;사진 스팟
대아저수지(대아호),완주군,전북특별자치도,35.9730817321,127.2732436768,126319,강·호수,힐링·여유;야외활동;사진 스팟
동상운장산계곡,완주군,전북특별자치도,35.9783508013,127.2860868374,126684,강·호수;숲,힐링·여유;야외활동;사진 스팟
되재성당,완주군,전북특별자치도,36.0862178467,127.2168901431,2702537,,문화·역사
반곡서원(완주),완주군,전북특별자치도,36.0184249478,127.180806271,1956980,,문화·역사
백현서원,완주군,전북특별자치도,35.9858819836,127.2121765576,1956989,,문화·역사
봉강서원(완주),완주군,전북특별자치도,35.9099590868,127.1553558443,1956999,,문화·역사
봉서사(완주),완주군,전북특별자치도,35.9087325597,127.219139085,126338,산,문화·역사;힐링·여유
부귀 편백숲 삼림욕장,완주군,전북특별자치도,35.8416424403,127.3477433028,2615385,숲,힐링·여유;야외활동;체험형;사진 스팟
산속등대 복합문화공간,완주군,전북특별자치도,35.8693487271,127.2520066415,2633954,,문화·역사;체험형
소양고택,완주군,전북특별자치도,35.9037252144,127.2431037503,2615336,,문화·역사
소양벚꽃길,완주군,전북특별자치도,35.883752495,127.2435459041,3076337,,힐링·여유;사진 스팟;야외활동
신흥계곡,완주군,전북특별자치도,36.0294061902,127.2915961018,129556,강·호수;숲,힐링·여유;야외활동;사진 스팟
안심사(완주),완주군,전북특별자치도,36.1083946058,127.3030457533,337411,산,문화·역사;힐링·여유
연석산,완주군,전북특별자치도,35.9075429895,127.3313180205,716644,산,힐링·여유;야외활동
오복마을(경천애인마을),완주군,전북특별자치도,36.0181706975,127.2537608842,1939606,,체험형;힐링·여유
오성 한글다리,완주군,전북특별자치도,35.9037196596,127.2431120827,2778924,,사진 스팟;문화·역사
옥계천,완주군,전북특별자치도,36.0968930253,127.2964744244,1613900,강·호수,힐링·여유;야외활동
완주 인덕마을[농촌체험휴양마을],완주군,전북특별자치도,35.8800638561,127.233794091,2580713,,체험형;힐링·여유
완주 화산꽃동산,완주군,전북특별자치도,36.0541435705,127.2079167955,3361574,,힐링·여유;사진 스팟
운일암 반일암 계곡,완주군,전북특별자치도,35.9798608986,127.396343646,127893,강·호수;숲,힐링·여유;야외활동;사진 스팟
운장산,완주군,전북특별자치도,35.9213331989,127.337717086,126243,산;숲,야외활동;힐링·여유;사진 스팟
운장산(진안),완주군,전북특별자치도,35.9110430472,127.3573156145,126246,산;숲,야외활동;힐링·여유;사진 스팟
운주계곡,완주군,전북특별자치도,36.080394617,127.2799735586,2615339,강·호수;숲,힐링·여유;야외활동
원등산,완주군,전북특별자치도,35.8872446394,127.2936163566,1614020,산,야외활동;힐링·여유
위봉사(완주),완주군,전북특별자치도,35.9104469175,127.2571773196,126356,산,문화·역사;힐링·여유
위봉산성,완주군,전북특별자치도,35.9051224481,127.2528722878,127910,산,문화·역사;야외활동
위봉폭포,완주군,전북특별자치도,35.9097387398,127.2614908428,126263,강·호수;숲,힐링·여유;사진 스팟;야외활동
장선천,완주군,전북특별자치도,36.1051248144,127.2620633863,1614156,강·호수,힐링·여유;야외활동
주천생태공원,완주군,전북특별자치도,35.9649549276,127.4340795746,3066726,강·호수;숲,힐링·여유;체험형;야외활동
주천서원,완주군,전북특별자치도,35.9747759661,127.4303740865,129667,,문화·역사
창포마을,완주군,전북특별자치도,35.9874326346,127.2595222969,1920063,,체험형;힐링·여유
천곡서원,완주군,전북특별자치도,36.0038940791,127.2270414226,1957088,,문화·역사
천등산,완주군,전북특별자치도,36.0856445289,127.3090152731,716704,산,힐링·여유;야외활동
천황사(진안),완주군,전북특별자치도,35.9054866603,127.4321091111,129666,산,문화·역사;힐링·여유
name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
화암사(완주),완주군,전북특별자치도,36.0662963531,127.2872399527,126332,산;숲,문화·역사;힐링·여유
공정여행풍덩,완주군,전북특별자치도,35.8562304611,127.3928416861,2833788,,체험형;레저·액티비티
대둔산케이블카,완주군,전북특별자치도,36.1166913472,127.3294987277,2707908,산,레저·액티비티;야외활동;사진 스팟
대아수목원,완주군,전북특별자치도,35.9736738835,127.3047575211,125415,숲,힐링·여유;체험형;야외활동;사진 스팟
복합문화지구 누에,완주군,전북특별자치도,35.9064290082,127.1596833299,2990226,,체험형;문화·역사
불명산,완주군,전북특별자치도,36.0615664441,127.293383975,716576,산,힐링·여유;야외활동
소양 마수벽화마을,완주군,전북특별자치도,35.8532308238,127.2352502231,2615335,,체험형;문화·역사;사진 스팟
송광사(완주),완주군,전북특별자치도,35.8842746273,127.2417793808,126333,산;숲,문화·역사;힐링·여유
수만리마애석불,완주군,전북특별자치도,35.9411243949,127.280910507,1613853,산,문화·역사
싱그랭이 에코정원,완주군,전북특별자치도,36.0577582496,127.2765383569,2713282,숲,힐링·여유;체험형;사진 스팟
오성제 저수지,완주군,전북특별자치도,35.9039168012,127.2397790409,2637673,강·호수,힐링·여유;야외활동;체험형
오성한옥마을,완주군,전북특별자치도,35.9031141763,127.2433009708,2686588,,문화·역사;체험형
와룡암,완주군,전북특별자치도,35.9755730816,127.4294574803,127008,산,문화·역사;힐링·여유
완주 대승한지마을,완주군,전북특별자치도,35.8299176763,127.2849686366,2469085,,체험형;문화·역사
운암산(완주),완주군,전북특별자치도,35.9863414117,127.2777651449,716603,산,힐링·여유;야외활동
원등사(완주),완주군,전북특별자치도,35.8815591537,127.292372172,346912,산,문화·역사;힐링·여유
은천계곡,완주군,전북특별자치도,35.9896778005,127.3152839361,250457,강·호수;숲,힐링·여유;야외활동;체험형
종남산,완주군,전북특별자치도,35.8953897026,127.2230724197,716659,산,힐링·여유;야외활
