name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
계곡가든,완주군,전북특별자치도,36.072193123,127.2997997869,2905286,,"관광,음식점",,,,,,
기양초,완주군,전북특별자치도,35.9043695861,127.2431426185,2788871,,"관광,음식점",,,,,,
나마스테,완주군,전북특별자치도,36.1025902734,127.3349152881,2849586,,"관광,음식점",,,,,,
대승가든,완주군,전북특별자치도,35.8564231162,127.2919145432,2851464,,"관광,음식점",,,,,,
몽펠리에 카페 레스토랑,완주군,전북특별자치도,35.881647205,127.2450041632,2851446,,"관광,음식점",,,,,,
봉동짬뽕,완주군,전북특별자치도,35.9379783326,127.1677206723,2877579,,"관광,음식점",,,,,,
선심갈비,완주군,전북특별자치도,35.9373006324,127.1677429103,133585,,"관광,음식점",,,,,,
소양한옥티롤,완주군,전북특별자치도,35.8472848203,127.2663587234,2839198,,"관광,음식점",,,,,,
송광산장,완주군,전북특별자치도,35.8805695203,127.2433265628,133586,,"관광,음식점",,,,,,
슨슨카페,완주군,전북특별자치도,35.8694903721,127.2517177744,2857207,,"관광,음식점",,,,,,
시골촌가든,완주군,전북특별자치도,35.8566005774,127.4334880645,2925486,,"관광,음식점",,,,,,
약수가든,완주군,전북특별자치도,36.0450697476,127.2160440891,134624,,"관광,음식점",,,,,,
영화산장,완주군,전북특별자치도,36.0289451253,127.2912294802,133588,,"관광,음식점",,,,,,
운일암일번지식당,완주군,전북특별자치도,35.9843519125,127.3882886883,1610087,,"관광,음식점",,,,,,
월평댁,완주군,전북특별자치도,35.8578560372,127.4361516835,2844102,,"관광,음식점",,,,,,
자연을닮은사람들,완주군,전북특별자치도,35.8583469458,127.2373804548,2902224,,"관광,음식점",,,,,,
카페라온,완주군,전북특별자치도,35.9069358649,127.2376652604,2837877,,"관광,음식점",,,,,,
한밭식당,완주군,전북특별자치도,36.1170469078,127.3321068186,133579,,"관광,음식점",,,,,,
화산식당,완주군,전북특별자치도,36.0365344532,127.2070840034,133749,,"관광,음식점",,,,,,
화심두부마을,완주군,전북특별자치도,35.8468654171,127.26595877,133583,,"관광,음식점",,,,,,
고산미소판매장(완주한우협동조합),완주군,전북특별자치도,35.9745081496,127.2047358545,2703446,,"관광,음식점",,,,,,
늘푸른산장,완주군,전북특별자치도,35.9841866352,127.308195825,1607147,,"관광,음식점",,,,,,
대둔산강변가든,완주군,전북특별자치도,36.0919802929,127.3304020855,404110,,"관광,음식점",,,,,,
대둔산골,완주군,전북특별자치도,36.1197105182,127.3335343977,134623,,"관광,음식점",,,,,,
동몽원식당,완주군,전북특별자치도,35.8531965734,127.3415296613,1610117,,"관광,음식점",,,,,,
두베카페,완주군,전북특별자치도,35.9035807849,127.2430148732,2815636,,"관광,음식점",,,,,,
맞바우산장식당,완주군,전북특별자치도,35.8829915484,127.4066341953,1610130,,"관광,음식점",,,,,,
민속전주식당,완주군,전북특별자치도,36.1178996114,127.333423345,1607263,,"관광,음식점",,,,,,
알프스 산장식당,완주군,전북특별자치도,35.979733145,127.3968769358,1610166,,"관광,음식점",,,,,,
에로스식당,완주군,전북특별자치도,35.9794804795,127.4016209645,1608959,,"관광,음식점",,,,,,
운일암관광식당,완주군,전북특별자치도,35.9842352688,127.3888664178,1610070,,"관광,음식점",,,,,,
운일암송어횟집,완주군,전북특별자치도,35.9674377732,127.422463875,134620,,"관광,음식점",,,,,,
운장산가든,완주군,전북특별자치도,35.8152338024,127.3174550244,1610022,,"관광,음식점",,,,,,
전주식당,완주군,전북특별자치도,35.9762642352,127.4048068778,1610371,,"관광,음식점",,,,,,
진미가든,완주군,전북특별자치도,35.8168780119,127.3147330009,1610039,,"관광,음식점",,,,,,
초원가든,완주군,전북특별자치도,35.8570587974,127.429996696,1610202,,"관광,음식점",,,,,,
토배기산장,완주군,전북특별자치도,35.91796849,127.2690010685,1607195,,"관광,음식점",,,,,,
