name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
금종제과,익산시,전북특별자치도,35.9414297438,126.9513509886,3486718,,"관광,음식점",,,,,,
다가포가든,익산시,전북특별자치도,35.9641352294,126.9363933977,2851296,,"관광,음식점",,,,,,
동보성,익산시,전북특별자치도,35.9594032077,126.9810811992,820754,,"관광,음식점",,,,,,
만나먹거리촌,익산시,전북특별자치도,35.9832849334,127.0454748267,1851929,,"관광,음식점",,,,,,
메이드인헤븐,익산시,전북특별자치도,35.9978460077,126.9788637244,2850861,,"관광,음식점",,,,,,
비비낙안,익산시,전북특별자치도,35.9016308363,127.0735327981,2946706,,"관광,음식점",,,,,,
비비정농가레스토랑,익산시,전북특별자치도,35.9016308363,127.0735327981,2851360,,"관광,음식점",,,,,,
시장비빔밥,익산시,전북특별자치도,36.0059611671,126.9452665117,2837895,,"관광,음식점",,,,,,
왕궁다원,익산시,전북특별자치도,35.9822525575,127.093859426,3067759,,"관광,음식점",,,,,,
원조미륵산순두부,익산시,전북특별자치도,36.0116063357,127.0242981949,2788876,,"관광,음식점",,,,,,
익산돈가스,익산시,전북특별자치도,36.0044852355,127.0421578985,2855417,,"관광,음식점",,,,,,
종가집,익산시,전북특별자치도,35.9521263418,126.9858170778,2855424,,"관광,음식점",,,,,,
카페 덕기,익산시,전북특별자치도,35.971214088,127.045522361,3041458,,"관광,음식점",,,,,,
카페 라이즈,익산시,전북특별자치도,35.9484824294,126.9925415727,2837385,,"관광,음식점",,,,,,
폭포송어횟집,익산시,전북특별자치도,36.0080017085,127.0540956298,133594,,"관광,음식점",,,,,,
풍성제과,익산시,전북특별자치도,35.9344001854,126.962686272,2839260,,"관광,음식점",,,,,,
함라정원,익산시,전북특별자치도,36.0496889526,126.9130126938,2783387,,"관광,음식점",,,,,,
흙가든허브오리,익산시,전북특별자치도,35.923045052,126.9121105259,1014373,,"관광,음식점",,,,,,
BLENDMI,익산시,전북특별자치도,35.9719731915,126.9344711427,2902304,,"관광,음식점",,,,,,
[백년가게]진미식당,익산시,전북특별자치도,36.0059389404,126.9448582161,2607967,,"관광,음식점",,,,,,
굴딴지,익산시,전북특별자치도,35.9273759846,126.962617017,1590782,,"관광,음식점",,,,,,
금강복집,익산시,전북특별자치도,35.933803031,126.9626946198,1590810,,"관광,음식점",,,,,,
노령산맥,익산시,전북특별자치도,35.9284257154,126.9539399856,1594833,,"관광,음식점",,,,,,
노형남정통추어탕,익산시,전북특별자치도,35.9551619808,126.9785370928,1594741,,"관광,음식점",,,,,,
다미일식,익산시,전북특별자치도,35.9600227082,126.9884138618,1592128,,"관광,음식점",,,,,,
동해안,익산시,전북특별자치도,35.9444375045,126.938040987,1592598,,"관광,음식점",,,,,,
뚜부카페,익산시,전북특별자치도,35.9980946376,127.0617285428,1851925,,"관광,음식점",,,,,,
뚱보네 암소구이,익산시,전북특별자치도,35.9410853411,126.9514954293,1594971,,"관광,음식점",,,,,,
맛동순두부,익산시,전북특별자치도,36.011550789,127.0244537384,1595051,,"관광,음식점",,,,,,
물머리집,익산시,전북특별자치도,35.9977973105,127.0537292642,133593,,"관광,음식점",,,,,,
백제가든,익산시,전북특별자치도,35.9523624847,126.9892362108,1592144,,"관광,음식점",,,,,,
별미아구,익산시,전북특별자치도,35.95952266,126.9823144192,1592191,,"관광,음식점",,,,,,
보은양과,익산시,전북특별자치도,35.9611304741,127.1231184829,2758842,,"관광,음식점",,,,,,
본향,익산시,전북특별자치도,35.9906434615,127.1050165427,1819822,,"관광,음식점",,,,,,
산정호수가든,익산시,전북특별자치도,36.081524127,126.9084622659,1595035,,"관광,음식점",,,,,,
삼례 유성식당,익산시,전북특별자치도,35.9103715259,127.0745852535,2759621,,"관광,음식점",,,,,,
삼일식당,익산시,전북특별자치도,35.9371107392,126.9483152612,1590996,,"관광,음식점",,,,,,
샘골가든,익산시,전북특별자치도,36.0705393568,126.9134621069,1592291,,"관광,음식점",,,,,,
서부 생선가,익산시,전북특별자치도,35.9548086094,126.9418292675,1592682,,"관광,음식점",,,,,,
소풍가는날,익산시,전북특별자치도,35.9965280117,127.0537765156,2808940,,"관광,음식점",,,,,,
수림가든,익산시,전북특별자치도,36.0628189214,126.9657576348,1595020,,"관광,음식점",,,,,,
아레라,익산시,전북특별자치도,35.9435568694,126.927605831,2855402,,"관광,음식점",,,,,,
원본함흥냉면,익산시,전북특별자치도,35.9607000436,126.9672823969,1591070,,"관광,음식점",,,,,,
이북할머니 멸치국수,익산시,전북특별자치도,35.9105298462,127.0748741127,2818855,,"관광,음식점",,,,,,
전주소바,익산시,전북특별자치도,35.9289006342,126.9523512263,1594878,,"관광,음식점",,,,,,
천혜우,익산시,전북특별자치도,36.0687201563,126.9155286369,1592310,,"관광,음식점",,,,,,
청목,익산시,전북특별자치도,35.9580283018,126.9774371163,1594759,,"관광,음식점",,,,,,
토담집,익산시,전북특별자치도,35.9168403294,127.0801012591,2840786,,"관광,음식점",,,,,,
파노파니,익산시,전북특별자치도,35.9652493083,126.9547278429,2806201,,"관광,음식점",,,,,,
함라산 황토가든,익산시,전북특별자치도,36.0691200995,126.9149064599,1592276,,"관광,음식점",,,,,,
함지박레스토랑,익산시,전북특별자치도,35.9566230149,126.9837143701,1592522,,"관광,음식점",,,,,,
후백제,익산시,전북특별자치도,35.9693936756,126.9776479109,1592205,,"관광,음식점",,,,,,
[백년가게]무진장갈비촌,익산시,전북특별자치도,35.9506148877,126.9560281092,2609122,,"관광,음식점",,,,,,
