name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
고원화목원,임실군,전북특별자치도,35.6832081835,127.3777448095,2774110,숲,힐링·여유;야외활동;사진 스팟
구산서원,임실군,전북특별자치도,35.7455005474,127.3453849341,1956438,산,문화·역사;힐링·여유
국립진안고원산림치유원,임실군,전북특별자치도,35.679906865,127.4397616192,3505997,숲,힐링·여유;체험형;야외활동
금당사(진안),임실군,전북특별자치도,35.7580472554,127.3974855339,126344,산,문화·역사;힐링·여유
기미3.1운동비,임실군,전북특별자치도,35.5857668766,127.4018480026,1623698,,문화·역사
남평문씨열녀비,임실군,전북특별자치도,35.5865415351,127.387315936,1623747,,문화·역사
덕암서원(임실),임실군,전북특별자치도,35.5874020585,127.3591767398,1956447,산,문화·역사;힐링·여유
덕태산,임실군,전북특별자치도,35.6684971258,127.4441698615,716856,산,야외활동;힐링·여유;사진 스팟
데미샘자연휴양림,임실군,전북특별자치도,35.657093159,127.4610603316,2748834,숲,힐링·여유;체험형;야외활동
마이산 벚꽃길,임실군,전북특별자치도,35.7553836111,127.3941803425,2706284,산,힐링·여유;사진 스팟;축제·이벤트
만덕산,임실군,전북특별자치도,35.7921439775,127.2726151723,716562,산,야외활동;힐링·여유
부귀 메타세쿼이아길,임실군,전북특별자치도,35.8081180275,127.3222075674,2615384,숲,힐링·여유;사진 스팟
사동서원,임실군,전북특별자치도,35.5646883027,127.3784922884,1957006,산,문화·역사;힐링·여유
사선대관광지&조각공원,임실군,전북특별자치도,35.6724242759,127.2745375809,126315,강·호수,체험형;레저·액티비티;힐링·여유;사진 스팟
상이암(임실),임실군,전북특별자치도,35.6355005343,127.4251585247,317571,산,문화·역사;힐링·여유
소충사,임실군,전북특별자치도,35.6230533654,127.3473018613,527279,,문화·역사
수운정,임실군,전북특별자치도,35.6687874347,127.2087157406,127003,강·호수,힐링·여유;사진 스팟
식료방,임실군,전북특별자치도,35.62937462,127.3329113053,3354407,,문화·역사
신의연효자각,임실군,전북특별자치도,35.7123222459,127.417715499,129120,,문화·역사
영모정,임실군,전북특별자치도,35.7121139264,127.4172016613,127009,,문화·역사;힐링·여유
영천서원,임실군,전북특별자치도,35.5754536816,127.3746229057,1586482,산,문화·역사;힐링·여유
운교리 삼각주 퇴적층,임실군,전북특별자치도,35.7306331683,127.3670056277,2932007,강·호수,야외활동;체험형;사진 스팟
운서정,임실군,전북특별자치도,35.6701606791,127.2765652376,127007,,문화·역사;힐링·여유
운수사(임실),임실군,전북특별자치도,35.6208275072,127.2834492473,1585593,산,문화·역사;힐링·여유
원흥사(장수),임실군,전북특별자치도,35.5891779352,127.4210073279,347227,산,문화·역사;힐링·여유
임실 치즈마을,임실군,전북특별자치도,35.6363398359,127.2949061605,2649950,,체험형;먹거리 탐방;축제·이벤트
임실치즈테마파크,임실군,전북특별자치도,35.6331736386,127.30126679,2718832,,체험형;먹거리 탐방;축제·이벤트;사진 스팟
임실향교,임실군,전북특별자치도,35.6168445588,127.2796191352,1954828,,문화·역사;힐링·여유
주암서원,임실군,전북특별자치도,35.5657183208,127.3543360673,1586397,,문화·역사;힐링·여유
죽림암(임실),임실군,전북특별자치도,35.6168721661,127.2699449924,479951,산,문화·역사;힐링·여유
진안 웅치골마을,임실군,전북특별자치도,35.8098260489,127.3154720098,801023,산,체험형;힐링·여유
진안 원촌마을,임실군,전북특별자치도,35.6907132459,127.3982511269,1667155,산,체험형;힐링·여유
진안 평지리 이팝나무 군,임실군,전북특별자치도,35.734985488,127.3690386664,129499,산,힐링·여유;사진 스팟
현주서원,임실군,전북특별자치도,35.5546222699,127.349409015,1957304,,문화·역사;힐링·여유
