name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
벚꽃마을,임실군,전북특별자치도,35.7582666458,127.3958051219,404118,,"관광,음식점",,,,,,
상록수회관,임실군,전북특별자치도,35.7215290945,127.2332871833,404112,,"관광,음식점",,,,,,
세계로가든,임실군,전북특별자치도,35.7758669246,127.3672683028,2844088,,"관광,음식점",,,,,,
여무누리 한우치즈,임실군,전북특별자치도,35.641081093,127.302288715,2910726,,"관광,음식점",,,,,,
연꽃두부,임실군,전북특별자치도,35.7794420266,127.3963072971,2844095,,"관광,음식점",,,,,,
우유일기,임실군,전북특별자치도,35.6408950161,127.3030442085,2910756,,"관광,음식점",,,,,,
이즈피자,임실군,전북특별자치도,35.6124673143,127.2817162855,2910807,,"관광,음식점",,,,,,
임실맛소,임실군,전북특별자치도,35.6313849683,127.3021473141,3423910,,"관광,음식점",,,,,,
카페 빈스,임실군,전북특별자치도,35.6727158327,127.270132409,3472638,,"관광,음식점",,,,,,
카페 임실창고1964 (임실삼삼오오청춘햇살협동조합),임실군,전북특별자치도,35.6113617865,127.2760862576,3357035,,"관광,음식점",,,,,,
포레드노드,임실군,전북특별자치도,35.6701162017,127.2743765449,2839283,,"관광,음식점",,,,,,
대만원,임실군,전북특별자치도,35.6139615547,127.2797080912,1595140,,"관광,음식점",,,,,,
도봉집,임실군,전북특별자치도,35.6144226847,127.2838077157,1595152,,"관광,음식점",,,,,,
성미당,임실군,전북특별자치도,35.6122117535,127.279774798,1595221,,"관광,음식점",,,,,,
속금산 음식점,임실군,전북특별자치도,35.7576194724,127.3943941536,1610459,,"관광,음식점",,,,,,
초가정담,임실군,전북특별자치도,35.7581555556,127.3963023032,1610033,,"관광,음식점",,,,,,
초원장,임실군,전북특별자치도,35.6704050484,127.2738404737,134374,,"관광,음식점",,,,,,
치즈밸리참나무집,임실군,전북특별자치도,35.6317016155,127.3031055539,1599006,,"관광,음식점",,,,,,
카페 진안,임실군,전북특별자치도,35.8025187671,127.3281377436,2723137,,"관광,음식점",,,,,,
호수정,임실군,전북특별자치도,35.6702883943,127.2737960363,133575,,"관광,음식점",,,,,,
