name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
논개사당(의암사),장수군,전북특별자치도,35.6437929727,127.5228440978,126408,,문화·역사
논개생가,장수군,전북특별자치도,35.6792101334,127.6212316727,127125,,문화·역사
덕산계곡,장수군,전북특별자치도,35.6021341648,127.5433850427,127067,강·호수,힐링·여유;야외활동;사진 스팟
덕산계곡(덕산용소),장수군,전북특별자치도,35.6049811048,127.5456680994,2787474,강·호수,힐링·여유;야외활동;사진 스팟
도암서원,장수군,전북특별자치도,35.7389722592,127.5905578049,1623764,산,문화·역사;힐링·여유
뜬봉샘생태공원,장수군,전북특별자치도,35.5921873324,127.5013445805,2658237,강·호수,체험형;야외활동;힐링·여유
무령고개,장수군,전북특별자치도,35.6440862159,127.614374876,3082713,산,야외활동;힐링·여유
무병장수마을,장수군,전북특별자치도,35.8064821318,127.6396710986,814004,산,체험형;힐링·여유
문태서, 박춘실 의병대장 전적비,장수군,전북특별자치도,35.8131590032,127.631296663,1623801,,문화·역사
봉화산,장수군,전북특별자치도,35.5358424159,127.585819144,2788101,산,야외활동;힐링·여유;사진 스팟
성관사,장수군,전북특별자치도,35.7522737685,127.6041895763,319552,산,문화·역사;힐링·여유
신광사(장수),장수군,전북특별자치도,35.7050660889,127.4949032902,127123,산,문화·역사;힐링·여유
와룡자연휴양림,장수군,전북특별자치도,35.6762995971,127.4772111731,126964,숲,힐링·여유;체험형;야외활동
월강사,장수군,전북특별자치도,35.7319537152,127.5964519126,127358,산,문화·역사;힐링·여유
월강서원,장수군,전북특별자치도,35.7319703767,127.5963074804,1957044,산,문화·역사;힐링·여유
자락정,장수군,전북특별자치도,35.7252044926,127.5971381424,127002,산,문화·역사;힐링·여유
장수 논개생가마을 [농촌전통테마],장수군,전북특별자치도,35.678340774,127.620453987,606203,,체험형;문화·역사;힐링·여유
장수 봉덕리 느티나무,장수군,전북특별자치도,35.7352271569,127.529088352,1624631,,힐링·여유;사진 스팟
장수 장수리 의암송,장수군,전북특별자치도,35.647384205,127.5212858077,1624659,,힐링·여유;사진 스팟
장수누리파크,장수군,전북특별자치도,35.6411155055,127.5232663533,2606189,,체험형;레저·액티비티;힐링·여유
장수물빛공원(물빛공원),장수군,전북특별자치도,35.5406438919,127.5425728412,2787949,강·호수,힐링·여유;사진 스팟;야외활동
장수양악탑,장수군,전북특별자치도,35.8038130376,127.6423292674,127121,,문화·역사
장수향교,장수군,전북특별자치도,35.6480452719,127.5230800761,126404,,문화·역사;힐링·여유
장안산군립공원,장수군,전북특별자치도,35.6253259956,127.5441871386,126258,산,야외활동;힐링·여유;사진 스팟
죽림정사 (백용성 조사 탄생성지),장수군,전북특별자치도,35.5397328818,127.5424450988,127122,,문화·역사
지지계곡,장수군,전북특별자치도,35.6024991068,127.6056323037,127066,강·호수,힐링·여유;야외활동;사진 스팟
토옥동계곡,장수군,전북특별자치도,35.8017607968,127.6595111326,127068,강·호수,힐링·여유;야외활동;사진 스팟
김남택신도비,장수군,전북특별자치도,35.7106476938,127.590525225,1623735,,문화·역사
방화동 자연휴양림,가족휴가촌,장수군,전북특별자치도,35.5897575387,127.5291060762,1623888,숲,힐링·여유;체험형;야외활동
백용성조사유허비,장수군,전북특별자치도,35.539255133,127.5410202371,1624070,,문화·역사
수열비,장수군,전북특별자치도,35.7039010654,127.5807957104,1624167,,문화·역사
신광사 대웅전,장수군,전북특별자치도,35.7049855438,127.4949782858,1624200,산,문화·역사;힐링·여유
용암사,장수군,전북특별자치도,35.7395850603,127.5327823535,1624246,산,문화·역사;힐링·여유
용연정,장수군,전북특별자치도,35.8037685981,127.6423264915,1624282,산,문화·역사;힐링·여유
이임간유허비,장수군,전북특별자치도,35.7012780634,127.5196150893,1624551,,문화·역사
장재영가옥,장수군,전북특별자치도,35.5323781655,127.5428091488,1624767,,문화·역사
정인승유허비,장수군,전북특별자치도,35.8055155472,127.6380990416,1624802,,문화·역사
창계서원,장수군,전북특별자치도,35.6634518725,127.5238518234,1624832,산,문화·역사;힐링·여유
타관산,장수군,전북특별자치도,35.6287499605,127.5072930932,1625014,산,야외활동;힐링·여유;사진 스팟
name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
타루각,장수군,전북특별자치도,35.6848521039,127.5170518614,127120,,문화·역사
화산사,장수군,전북특별자치도,35.6932579427,127.5873204143,1625093,산,문화·역사;힐링·여유
화산서원(장수),장수군,전북특별자치도,35.6932579427,127.5873204143,1957320,산,문화·역사;힐링·여유
장수 한누리전당,장수군,전북특별자치도 장수군 장수읍 한누리로 393,,,1750151,,체험형;문화·역사
장수문화원,장수군,전북특별자치도 장수군 장수읍 한누리로 393,,,130199,,문화·역사
장수역사전시관,장수군,전북특별자치도 장수군 장계면 방천길 11,,,3338212,,문화·역사;체험형
장수 쿨밸리 페스티벌,장수군,전북특별자치도 장수군 번암면 방화동로 778,,,2989580,,축제·이벤트;체험형;힐링·여유
장수한우랑사과랑축제,장수군,전북특별자치도 장수군 장수읍 한누리로 378,,,763974,,축제·이벤트;먹거리 탐방
방화동 가족휴가촌 오토캠핑장,장수군,전북특별자치도 장수군 번암면 방화동로 778,,,2761204,숲,레저·액티비티;체험형;힐링·여유
와룡자연휴양림야영장,장수군,전북특별자치도 장수군 천천면 비룡로 538-73,,,2743750,숲,체험형;레저·액티비티;야외활동
장수논개수상레저,장수군,전북특별자치도 장수군 장계면 의암로 632-77,,,2787377,강·호수,레저·액티비티;체험형
장수누리파크오토캠핑장,장수군,전북특별자치도 장수군 장수읍 논개사당길 65,,,2741540,산,체험형;레저·액티비티;힐링·여유
장수방화동캠핑장,장수군,전북특별자치도 장수군 번암면 사암리 64번지,,,2730812,숲,체험형;야외활동;힐링·여유
장수승마장,장수군,전북특별자치도 장수군 천천면 승마1로 60-31,,,2787366,,레저·액티비티;체험형
장수승마체험장/장수승마레저파크,장수군,전북특별자치도 장수군 장수읍 승마로 42,,,2787361,,레저·액티비티;체험형
번암장 (1, 6일),장수군,전북특별자치도 장수군 번암면 신평로 317-1,,,132049,,먹거리 탐방;체험형
산서장 (2, 7일),장수군,전북특별자치도 장수군 산서면 보산로 1864-11,,,132050,,먹거리 탐방;체험형
장계장 (3, 8일),장수군,전북특별자치도 장수군 시장천변길 36 장계재래시장장옥A블럭,,,132414,,먹거리 탐방;체험형
장수장 (5, 10일),장수군,전북특별자치도 장수군 장수읍 시장로 11,,,132276,,먹거리 탐방;체험형
