name,region,address_full,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities
가은채,전주시,전북특별자치도,35.8170640681,127.1532917977,2593271,,"관광,숙박",,,,,
가은채2,전주시,전북특별자치도,35.8155697973,127.1535195942,2593272,,"관광,숙박",,,,,
고유[한국관광 품질인증/Korea Quality],전주시,전북특별자치도,35.8121035044,127.1523281243,2651962,,"관광,숙박",,,,,
고현당,전주시,전북특별자치도,35.8152920547,127.1537251387,2572898,,"관광,숙박",,,,,
구쁘다 아띠야,전주시,전북특별자치도,35.8089066603,127.153136469,2571954,,"관광,숙박",,,,,
금농헌,전주시,전북특별자치도,35.8203387678,127.1574468976,2570576,,"관광,숙박",,,,,
낭만시대 게스트하우스(낭만시대),전주시,전북특별자치도,35.8180749794,127.1484144273,2570681,,"관광,숙박",,,,,
니어리스트(니어리스트 게스트하우스),전주시,전북특별자치도,35.8204274628,127.1468589489,2569116,,"관광,숙박",,,,,
다나하루(다나하루 게스트하우스),전주시,전북특별자치도,35.811786838,127.150258872,2571938,,"관광,숙박",,,,,
대성 정담한옥,전주시,전북특별자치도,35.7967584787,127.1783262132,2695742,,"관광,숙박",,,,,
더메이호텔,전주시,전북특별자치도,35.8598887519,127.0957069152,2783770,,"관광,숙박",,,,,
도원,전주시,전북특별자치도,35.8078483941,127.1500923233,2574225,,"관광,숙박",,,,,
동락원,전주시,전북특별자치도,35.8168613026,127.1526585258,2595021,,"관광,숙박",,,,,
뜨레가,전주시,전북특별자치도,35.811673034,127.154402951,2570244,,"관광,숙박",,,,,
뜰안채,전주시,전북특별자치도,35.8171362131,127.149336592,2576343,,"관광,숙박",,,,,
라온한옥꿀잠,전주시,전북특별자치도,35.8158364483,127.1543139612,2574250,,"관광,숙박",,,,,
라임호텔,전주시,전북특별자치도,35.8331653376,127.1718952761,2399572,,"관광,숙박",,,,,
라한호텔 전주,전주시,전북특별자치도,35.817075192,127.1540833932,2945609,,"관광,숙박",,,,,
마이스테이,전주시,전북특별자치도,35.8183444356,127.1508364271,2570597,,"관광,숙박",,,,,
모악산유스호스텔,전주시,전북특별자치도,35.7165152364,127.0415765757,137498,,"관광,숙박",,,,,
문화공간 양사재,전주시,전북특별자치도,35.813145084,127.1541362693,1871362,,"관광,숙박",,,,,
백희,전주시,전북특별자치도,35.817094555,127.1495254653,2572871,,"관광,숙박",,,,,
베니키아 전주한성 호텔,전주시,전북특별자치도,35.8198802678,127.1448369202,496396,,"관광,숙박",,,,,
베스트웨스턴플러스전주호텔,전주시,전북특별자치도,35.8224744551,127.1470199916,2783515,,"관광,숙박",,,,,
별자리,전주시,전북특별자치도,35.816547425,127.1512697687,2574415,,"관광,숙박",,,,,
부경당,전주시,전북특별자치도,35.8159892071,127.1542361861,2593571,,"관광,숙박",,,,,
부용헌,전주시,전북특별자치도,35.8122758009,127.1577554146,1971964,,"관광,숙박",,,,,
블루보트게스트하우스 전주점,전주시,전북특별자치도,35.8189026431,127.1472700632,2528149,,"관광,숙박",,,,,
사랑가득,전주시,전북특별자치도,35.8124646729,127.1580137201,2048324,,"관광,숙박",,,,,
사랑나무 한옥펜션,전주시,전북특별자치도,35.8114369196,127.1526697781,2575839,,"관광,숙박",,,,,
삼락헌,전주시,전북특별자치도,35.8156475531,127.1527196631,1972014,,"관광,숙박",,,,,
서로,전주시,전북특별자치도,35.8157753315,127.1536056922,1972381,,"관광,숙박",,,,,
서학아트 게스트하우스,전주시,전북특별자치도,35.8098620588,127.1503700237,2573972,,"관광,숙박",,,,,
솔호텔,전주시,전북특별자치도,35.8295324416,127.1733063569,2707452,,"관광,숙박",,,,,
시원,전주시,전북특별자치도,35.8126090282,127.1538140898,1972487,,"관광,숙박",,,,,
엔브릿지호텔,전주시,전북특별자치도,35.8099537505,127.152414284,3066567,,"관광,숙박",,,,,
여림재펜션,전주시,전북특별자치도,35.7443566824,127.2117551665,2814991,,"관광,숙박",,,,,
연우당,전주시,전북특별자치도,35.8155864558,127.1531362943,2575760,,"관광,숙박",,,,,
영조관[한국관광 품질인증/Korea Quality],전주시,전북특별자치도,35.8003997276,127.1781039146,2637816,,"관광,숙박",,,,,
오늘[한국관광 품질인증/Korea Quality],전주시,전북특별자치도,35.8125091181,127.158352578,2950196,,"관광,숙박",,,,,
온고을,전주시,전북특별자치도,35.8122534899,127.1524586644,2569980,,"관광,숙박",,,,,
왕의지밀 고종관,전주시,전북특별자치도,35.8000747703,127.178406674,2706590,,"관광,숙박",,,,,
왕의지밀 문종관,전주시,전북특별자치도,35.8006274628,127.1771484385,2706533,,"관광,숙박",,,,,
왕의지밀 선조관,전주시,전북특별자치도,35.8004941532,127.1776345099,2706601,,"관광,숙박",,,,,
왕의지밀 세조관,전주시,전북특별자치도,35.8005524757,127.177409528,2706521,,"관광,숙박",,,,,
왕의지밀 세종관,전주시,전북특별자치도,35.8006968947,127.1768790159,2706561,,"관광,숙박",,,,,
왕의지밀 숙종관,전주시,전북특별자치도,35.800446941,127.177876156,2706592,,"관광,숙박",,,,,
왕의지밀 순종관,전주시,전북특별자치도,35.7998414647,127.1784788965,2706568,,"관광,숙박",,,,,
