name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
객사길,전주시,전북특별자치도,35.817666612,127.143728744,2774063,,문화·역사;체험형;사진 스팟
경기전,전주시,전북특별자치도,35.8142143363,127.1500366062,147656,,문화·역사;힐링·여유;사진 스팟
골목대장,전주시,전북특별자치도,35.8134977974,127.1527308297,3066378,,체험형;문화·역사
구이 안덕 건강힐링체험마을,전주시,전북특별자치도,35.695590841,127.0998330498,1977631,산,체험형;힐링·여유
귀신사(김제),전주시,전북특별자치도,35.7453148338,127.0470225669,126345,산,문화·역사;힐링·여유
기린봉,전주시,전북특별자치도,35.8179420242,127.1693153486,3074840,산,야외활동;힐링·여유;사진 스팟
기지제·기지제 수변공원,전주시,전북특별자치도,35.8413069939,127.0645268438,2783878,강·호수,힐링·여유;야외활동;사진 스팟
나들목 가족공원,전주시,전북특별자치도,35.8763222964,127.0555461746,2750816,,힐링·여유;체험형
남고사(전주),전주시,전북특별자치도,35.7997439139,127.1589500803,298199,산,문화·역사;힐링·여유
남천교 청연루,전주시,전북특별자치도,35.8107203432,127.1531753073,1594796,강·호수,문화·역사;사진 스팟
다가공원,전주시,전북특별자치도,35.814983492,127.1384903912,1592428,,힐링·여유;체험형
덕진공원,전주시,전북특별자치도,35.8475156135,127.1218687977,126320,강·호수,힐링·여유;사진 스팟;체험형
동고사(전주),전주시,전북특별자치도,35.8094485165,127.167624055,301276,산,문화·역사;힐링·여유
동락원,전주시,전북특별자치도,35.8168446419,127.1529168367,561983,,문화·역사;힐링·여유
모악산,전주시,전북특별자치도,35.7295093826,127.109884053,127573,산,야외활동;힐링·여유;사진 스팟
모악산도립공원,전주시,전북특별자치도,35.7228286577,127.0561028982,127574,산,야외활동;힐링·여유;사진 스팟
바람쐬는길,전주시,전북특별자치도,35.811634292,127.1626022226,3019402,,힐링·여유;체험형;사진 스팟
불정사(전주),전주시,전북특별자치도,35.8026435654,127.1578278818,317526,산,문화·역사;힐링·여유
비비정예술열차,전주시,전북특별자치도,35.8989921483,127.0677778248,2615342,강·호수,체험형;사진 스팟
삼천 2동 막걸리골목,전주시,전북특별자치도,35.7975435382,127.1228144638,3056499,,먹거리 탐방;체험형
상관리조트&스파,전주시,전북특별자치도,35.7443343898,127.2075555406,2778949,산,힐링·여유;레저·액티비티
세병공원,전주시,전북특별자치도,35.876867983,127.1307950117,2759662,,힐링·여유;체험형
승암사(전주),전주시,전북특별자치도,35.8092457009,127.1641132614,319707,산,문화·역사;힐링·여유
아중체련공원,전주시,전북특별자치도,35.822547039,127.168340315,2930122,,체험형;레저·액티비티
아중호수,전주시,전북특별자치도,35.8231887388,127.1744453107,2750859,강·호수,힐링·여유;사진 스팟
아쿠아틱파크 아마존,전주시,전북특별자치도,35.7193438461,127.1084150032,2828241,,레저·액티비티;체험형
아현슈퍼,전주시,전북특별자치도,35.8064653539,127.1579138857,2946705,,먹거리 탐방
약수암(전주),전주시,전북특별자치도,35.8450776364,127.1583906107,337432,산,문화·역사;힐링·여유
오송제,전주시,전북특별자치도,35.861930897,127.1366809902,1587082,강·호수,힐링·여유;사진 스팟
완산공원,전주시,전북특별자치도,35.8040348058,127.1424042181,126627,산,힐링·여유;체험형
완산벙커 더 스페이스,전주시,전북특별자치도,35.8064178671,127.142348605,3492135,,문화·역사;체험형
완산생활체육공원,전주시,전북특별자치도,35.7675354713,127.1015504714,2783891,,체험형;레저·액티비티
완주상관편백숲,전주시,전북특별자치도,35.7325743957,127.1949291912,2705087,숲,힐링·여유;야외활동
우리 놀이터 마루달,전주시,전북특별자치도,35.8165446667,127.1523502283,3066467,,체험형
웨딩의 거리,전주시,전북특별자치도,35.8166889731,127.1453286267,3056502,,사진 스팟;문화·역사
이리오너라,전주시,전북특별자치도,35.8143532495,127.1523502856,3056542,,체험형;문화·역사
일상애,전주시,전북특별자치도,35.8166696471,127.1520280315,3056536,,체험형
입다 한복,전주시,전북특별자치도,35.8164446967,127.153433468,3066309,,체험형;문화·역사
자만마을 벽화갤러리,전주시,전북특별자치도,35.8140450355,127.1572165278,2606603,,사진 스팟;체험형
장현식고택,전주시,전북특별자치도,35.8126451848,127.1566555025,1594746,,문화·역사
전라 감영,전주시,전북특별자치도,35.8157779693,127.1455841839,3066348,,문화·역사;체험형
전북 전주 한옥마을 [슬로시티],전주시,전북특별자치도,35.8183333748,127.1536778411,264284,,문화·역사;체험형;사진 스팟
전북대학교 문회루,전주시,전북특별자치도,35.8407943328,127.1320319577,3065596,,문화·역사
전북대학교 벚꽃길,전주시,전북특별자치도,35.8407943328,127.1320319577,3082719,,힐링·여유;사진 스팟
전북특별자치도 어린이 창의체험관,전주시,전북특별자치도,35.855584251,127.1282680169,2752449,,체험형
전주 남고산성,전주시,전북특별자치도,35.7993106255,127.1586612282,126620,산,문화·역사;힐링·여유
전주 대사습청,전주시,전북특별자치도,35.8176862244,127.1535445367,3065503,,문화·역사;축제·이벤트
전주 동문예술거리,전주시,전북특별자치도,35.8211690965,127.1498197769,2606577,,문화·역사;체험형
전주 산성벽화마을,전주시,전북특별자치도,35.8140450355,127.1572165278,2606240,산,체험형;사진 스팟
전주 영화 제작소,전주시,전북특별자치도,35.8184026214,127.1427315912,3065551,,문화·역사;체험형
전주 영화의 거리,전주시,전북특별자치도,35.8212828744,127.1441702768,2946487,,문화·역사;체험형
전주 초코파이 체험장,전주시,전북특별자치도,35.8168585664,127.1550749778,2599911,,체험형;먹거리 탐방;
전주 풍남문,전주시,전북특별자치도,35.8137060365,127.1486672969,126622,,문화·역사;사진 스팟
전주 풍패지관 (전주객사),전주시,전북특별자치도,35.8182860101,127.1451286034,126387,,문화·역사
전주 한옥 마을 한복 색동저고리,전주시,전북특별자치도,35.8140559988,127.1487533912,3066423,,체험형;문화·역사
전주동물원,전주시,전북특별자치도,35.8552623666,127.145633146,126626,,체험형;레저·액티비티
전주드림랜드,전주시,전북특별자치도,35.8551623554,127.1443249321,2790515,,레저·액티비티;체험형
전주목판서화체험관,전주시,전북특별자치도,35.8115147404,127.1556500663,1594500,,체험형;문화·역사
전주일몽,전주시,전북특별자치도,35.8120785487,127.1547223563,3066280,,체험형;문화·역사
전주전동성당,전주시,전북특별자치도,35.8138643627,127.1493005697,250331,,문화·역사;사진 스팟
전주전통한지원,전주시,전북특별자치도,35.8158780959,127.1535251414,1594374,,문화·역사;체험형
전주천,전주시,전북특별자치도,35.8699433206,127.1048141741,3056623,강·호수,힐링·여유;사진 스팟
정수사(완주),전주시,전북특별자치도,35.7831807676,127.2531171409,479838,산,문화·역사;힐링·여유
정혜사(전주),전주시,전북특별자치도,35.8043013857,127.139151723,479910,산,문화·역사;힐링·여유
조경단,전주시,전북특별자치도,35.8515654042,127.136336848,126624,,문화·역사
천양정,전주시,전북특별자치도,35.8155112011,127.1379682019,1592606,,문화·역사
청하서원,전주시,전북특별자치도,35.7574835502,127.0850022052,1957104,산,문화·역사;힐링·여유
충경사,전주시,전북특별자치도,35.8051793719,127.156922341,126625,,문화·역사
치명자산성지,전주시,전북특별자치도,35.8084514028,127.1673435504,127611,산,문화·역사;힐링·여유
팔복동 천변,전주시,전북특별자치도,35.8588890903,127.1086696753,3066436,강·호수,힐링·여유;사진 스팟
학소암(전주),전주시,전북특별자치도,35.7867729344,127.1455377232,485691,산,문화·역사;힐링·여유
한벽굴,전주시,전북특별자치도,35.8119286687,127.1606634986,2946402,산,사진 스팟;힐링·여유
한벽당,전주시,전북특별자치도,35.8118786778,127.1608384836,126388,산,문화·역사;힐링·여유
한복궁,전주시,전북특별자치도,35.8179445099,127.1524751805,3066483,,체험형;문화·역사
한복남,전주시,전북특별자치도,35.8151837077,127.1522197199,3056624,,체험형;문화·역사
한복이야기,전주시,전북특별자치도,35.8190549748,127.1224972637,3065693,,체험형;문화·역사
호남제일문,전주시,전북특별자치도,35.8693955733,127.0708838777,2750918,,문화·역사;사진 스팟
호산서원,전주시,전북특별자치도,35.8996365304,127.0684194175,1957306,산,문화·역사;힐링·여유
건지산,전주시,전북특별자치도,35.8513293678,127.1391338273,2724379,산,야외활동;힐링·여유;사진 스팟
경각산,전주시,전북특별자치도,35.7269104862,127.1566049676,716538,산,야외활동;힐링·여유;사진 스팟
관성묘,전주시,전북특별자치도,35.7959416016,127.1608305681,126623,,문화·역사
관응사(김제),전주시,전북특별자치도,35.7897238525,127.0574815933,1597967,산,문화·역사;힐링·여유
국사봉전망대,전주시,전북특별자치도,35.640250562,127.1379977612,1590895,산,야외활동;힐링·여유;사진 스팟
금산사(김제),전주시,전북특별자치도,35.7227452882,127.0534614685,126339,산,문화·역사;힐링·여유
남계정,전주시,전북특별자치도,35.7432358263,127.1229519788,1613682,,문화·역사;힐링·여유
대원사 용각부도,전주시,전북특별자치도,35.7325171301,127.0957991164,1613768,산,문화·역사
대원사(완주),전주시,전북특별자치도,35.7325171301,127.0957991164,300081,산,문화·역사;힐링·여유
동고산성,전주시,전북특별자치도,35.8109428727,127.1723152653,1595444,산,문화·역사;야외활동
두억행복드림마을,전주시,전북특별자치도,35.8955891266,127.1913085762,1996240,산,체험형;힐링·여유
모주체험여,전주시,전북특별자치도,35.8141393546,127.1506087794,3114431,,체험형;먹거리 탐방
문화살롱,전주시,전북특별자치도,35.8645803736,127.1238903928,2932446,,문화·역사;체험형
반곡서원(전주),전주시,전북특별자치도,35.8076151849,127.1557196066,1956982,,문화·역사;힐링·여유
봉황사(김제),전주시,전북특별자치도,35.7746452479,127.0711168832,1599550,산,문화·역사;힐링·여유
상관 공기마을 편백숲,전주시,전북특별자치도,35.7393126708,127.2036587957,2827407,숲,힐링·여유;체험형;야외활동
색장정미소,전주시,전북특별자치도,35.7976390938,127.1874892635,2804498,,문화·역사
서학동 예술마을,전주시,전북특별자치도,35.8092482177,127.149084043,3056468,,체험형;문화·역사;사진 스팟
세병호,전주시,전북특별자치도,35.876867983,127.1307950117,2750851,강·호수,힐링·여유;사진 스팟
수달궁(문화살롱주식회사),전주시,전북특별자치도,35.8645803736,127.1238903928,3511603,,체험형;문화·역사
예종대왕태실 및 비,전주시,전북특별자치도,35.8150475742,127.149997699,1594308,,문화·역사
