name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
가운데집,전주시,전북특별자치도,35.8514760845,127.1109168914,404116,,"관광,음식점",,,,,,
갑기회관 본점,전주시,전북특별자치도,35.8525897317,127.1043118952,2891323,,"관광,음식점",,,,,,
강촌떡갈비,전주시,전북특별자치도,35.8113397417,127.1545918319,1855052,,"관광,음식점",,,,,,
고궁 전주본점,전주시,전북특별자치도,35.8500847231,127.1194217262,1014394,,"관광,음식점",,,,,,
교동떡갈비,전주시,전북특별자치도,35.8153448021,127.1522808214,1855062,,"관광,음식점",,,,,,
교동석갈비,전주시,전북특별자치도,35.8146393219,127.1520141969,1855141,,"관광,음식점",,,,,,
그랑삐아또 중화산,전주시,전북특별자치도,35.8130752834,127.1331492499,2687850,,"관광,음식점",,,,,,
금암피순대,전주시,전북특별자치도,35.8384057298,127.1328486143,2871002,,"관광,음식점",,,,,,
김정선 베이커리카페,전주시,전북특별자치도,35.7340882988,127.0451091396,2891558,,"관광,음식점",,,,,,
김판쇠전주우족탕 본점,전주시,전북특별자치도,35.8328091937,127.1357151721,2870984,,"관광,음식점",,,,,,
깐쇼새우,전주시,전북특별자치도,35.8195853242,127.1140896653,2898996,,"관광,음식점",,,,,,
나무솥밥,전주시,전북특별자치도,35.8548644939,127.1055200616,2999131,,"관광,음식점",,,,,,
네잎클로버,전주시,전북특별자치도,35.8178853474,127.1043072468,2929966,,"관광,음식점",,,,,,
노벨반점,전주시,전북특별자치도,35.8136726294,127.1441815862,2899014,,"관광,음식점",,,,,,
늘숲,전주시,전북특별자치도,35.741623604,127.0480392389,2847922,,"관광,음식점",,,,,,
다문,전주시,전북특별자치도,35.8134727939,127.1523697516,1316009,,"관광,음식점",,,,,,
다원추어탕,전주시,전북특별자치도,35.8609252028,127.1221128697,134973,,"관광,음식점",,,,,,
덕진헌,전주시,전북특별자치도,35.850745812,127.1224603274,3354208,,"관광,음식점",,,,,,
돌돌파이,전주시,전북특별자치도,35.8553894232,127.1049006581,2999128,,"관광,음식점",,,,,,
동원순대집,전주시,전북특별자치도,35.8046480232,127.1076822923,2899032,,"관광,음식점",,,,,,
