name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
가인 김병로 생가터,정읍시,전북특별자치도,35.4505693165,126.9774224423,2357441,,문화·역사
갑오동학혁명 100주년 기념탑,정읍시,전북특별자치도,35.5097335146,126.9002222297,1625103,,문화·역사;사진 스팟
고택문화체험관,정읍시,전북특별자치도,35.6166039952,127.0201949462,2009156,,체험형;문화·역사
국사봉(순창),정읍시,전북특별자치도,35.5360404765,126.9946381748,2357450,산,야외활동;힐링·여유;사진 스팟
낙덕정,정읍시,전북특별자치도,35.4440088406,126.9710676178,1610702,,문화·역사;힐링·여유
남고서원,정읍시,전북특별자치도,35.5728516987,126.9205021494,1956440,,문화·역사;힐링·여유
남산사(정읍),정읍시,전북특별자치도,35.6085077687,126.8623314089,298205,산,문화·역사;힐링·여유
내장산 단풍생태공원,정읍시,전북특별자치도,35.5090642612,126.9069744245,2715684,산,힐링·여유;사진 스팟;야외활동
내장산 생태탐방원,정읍시,전북특별자치도,35.5078393677,126.9050690697,3403800,산,체험형;야외활동;힐링·여유
내장산 워터파크,정읍시,전북특별자치도,35.5207877681,126.8973999766,2738691,산,레저·액티비티;체험형
내장산 케이블카,정읍시,전북특별자치도,35.4867557082,126.9086276242,650363,산,레저·액티비티;체험형;사진 스팟
내장산국립공원,정읍시,전북특별자치도,35.4868694129,126.898570181,126237,산,야외활동;힐링·여유;사진 스팟
내장산수목원,정읍시,전북특별자치도,35.5099112372,126.8981779623,2414865,숲,힐링·여유;체험형;야외활동
다천사(정읍),정읍시,전북특별자치도,35.6524820999,126.9529222247,299976,산,문화·역사;힐링·여유
닥나무한지체험관 콩닥콩닥,정읍시,전북특별자치도,35.6917169949,126.8177082499,3358056,,체험형;문화·역사
도계서원,정읍시,전북특별자치도,35.6382924197,126.8122351043,1626301,,문화·역사;힐링·여유
동죽서원,정읍시,전북특별자치도,35.6134120183,126.8183851923,1956972,,문화·역사;힐링·여유
만석보혁파비,정읍시,전북특별자치도,35.6717725957,126.8502419757,1627095,,문화·역사
말목장터와 감나무,정읍시,전북특별자치도,35.6644343284,126.8377654965,250288,,문화·역사;체험형
망부상과 망부사 사우,정읍시,전북특별자치도,35.5509892879,126.8616579374,1627158,,문화·역사;힐링·여유
백암리남근석,정읍시,전북특별자치도,35.5994436653,126.9521042155,1627256,,문화·역사;사진 스팟
벽련암(정읍),정읍시,전북특별자치도,35.4932326954,126.9053333076,252597,산,문화·역사;힐링·여유
산외한우마을,정읍시,전북특별자치도,35.6218398632,127.0406402167,1626187,,먹거리 탐방;체험형
석탄사(정읍),정읍시,전북특별자치도,35.5637427413,126.9859687896,318335,산,문화·역사;힐링·여유
선비문화체험관 우리누리,정읍시,전북특별자치도,35.5762148999,127.0647392528,128323,,체험형;문화·역사
연자봉,정읍시,전북특별자치도,35.4805534759,126.8993897134,650224,산,야외활동;힐링·여유;사진 스팟
용계서원,정읍시,전북특별자치도,35.6019523345,126.9883564854,1957028,,문화·역사;힐링·여유
우화정(내장산),정읍시,전북특별자치도,35.486477989,126.9102191565,649968,산,문화·역사;힐링·여유;사진 스팟
정읍 김명관 고택,정읍시,전북특별자치도,35.6161623752,127.0199921979,231907,,문화·역사;체험형
정읍 내장산 관광특구,정읍시,전북특별자치도,35.4838615072,126.9036809149,1958000,산,체험형;야외활동;사진 스팟
정읍 피향정,정읍시,전북특별자치도,35.6511598608,126.943200901,126396,,문화·역사;힐링·여유;사진 스팟
정읍 허브원,정읍시,전북특별자치도,35.5647716341,126.895540685,3428425,,체험형;힐링·여유
정읍사공원,정읍시,전북특별자치도,35.5507726439,126.8615885046,126318,,문화·역사;힐링·여유
정읍어린이교통공원,정읍시,전북특별자치도,35.555955521,126.8693126858,1627481,,체험형
정읍향교,정읍시,전북특별자치도,35.5673985195,126.8606992705,1626239,,문화·역사;힐링·여유
정토사(정읍),정읍시,전북특별자치도,35.6584886507,126.8886666747,479904,산,문화·역사;힐링·여유
죽림폭포공원,정읍시,전북특별자치도,35.5637598347,126.8484032341,1627495,산,힐링·여유;야외활동;사진 스팟
증산 강일순 탄생지,정읍시,전북특별자치도,35.6309715239,126.8412910394,1625126,,문화·역사
창동서원,정읍시,전북특별자치도,35.6551182687,126.8112708707,1626384,,문화·역사;힐링·여유
천곡사지 칠층석탑,정읍시,전북특별자치도,35.614567573,126.82604837,1627540,,문화·역사;사진 스팟
추령천,정읍시,전북특별자치도,35.4664760029,126.9865267847,1612160,강·호수,힐링·여유;야외활동;사진 스팟
충렬사,정읍시,전북특별자치도,35.56992318,126.8575744838,126393,,문화·역사
충무공원,정읍시,전북특별자치도,35.5699703919,126.8572856192,1627512,,문화·역사;힐링·여유
칠보물테마유원지,정읍시,전북특별자치도,35.6068433883,126.9850038796,1627632,강·호수,체험형;레저·액티비티;야외활동
태인동헌,정읍시,전북특별자치도,35.6535763021,126.946050585,1626331,,문화·역사
