name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
금거북,정읍시,전북특별자치도,35.6173267382,126.8931951049,2923326,,"관광,음식점",,,,,,
녹원전통찻집,정읍시,전북특별자치도,35.5831605783,126.8583240795,2916439,,"관광,음식점",,,,,,
베르데카페,정읍시,전북특별자치도,35.6554205284,126.9455533593,2854974,,"관광,음식점",,,,,,
산골냉면,정읍시,전북특별자치도,35.5539947242,126.8746928135,2916429,,"관광,음식점",,,,,,
솜씨만두 정읍점,정읍시,전북특별자치도,35.5650153755,126.8559025353,2905626,,"관광,음식점",,,,,,
순정축협 한우명품관,정읍시,전북특별자치도,35.5543946793,126.8747205782,2838040,,"관광,음식점",,,,,,
시골삼계탕전문점,정읍시,전북특별자치도,35.5834910915,126.8580018775,2905654,,"관광,음식점",,,,,,
신세계회관 (구. 한일회관),정읍시,전북특별자치도,35.4932192145,126.929164526,1608682,,"관광,음식점",,,,,,
씨아전복,정읍시,전북특별자치도,35.5605882362,126.8638908277,2847516,,"관광,음식점",,,,,,
아양촌해물칼국수,정읍시,전북특별자치도,35.5531446798,126.8664269029,2905665,,"관광,음식점",,,,,,
양자강,정읍시,전북특별자치도,35.5667068743,126.8573190336,2842198,,"관광,음식점",,,,,,
옥쭹가든,정읍시,전북특별자치도,35.6186357835,127.1052206755,2837967,,"관광,음식점",,,,,,
이오일스페이스,정읍시,전북특별자치도,35.5387633243,126.8867088007,3356007,,"관광,음식점",,,,,,
전복돌솥밥,정읍시,전북특별자치도,35.5553696821,126.8813755177,2857348,,"관광,음식점",,,,,,
정읍한우,정읍시,전북특별자치도,35.6034337208,126.8843740227,2674261,,"관광,음식점",,,,,,
제이포렛,정읍시,전북특별자치도,35.5391877662,126.8567753388,2859150,,"관광,음식점",,,,,,
카페 허브원,정읍시,전북특별자치도,35.5655493144,126.8950129349,2838060,,"관광,음식점",,,,,,
한국관,정읍시,전북특별자치도,35.494357934,126.9268313703,133572,,"관광,음식점",,,,,,
[백년가게]대일정,정읍시,전북특별자치도,35.651823672,126.943020344,133443,,"관광,음식점",,,,,,
국화회관,정읍시,전북특별자치도,35.5701535046,126.8455505466,2758165,,"관광,음식점",,,,,,
대궐식당,정읍시,전북특별자치도,35.4932108694,126.9284312571,1608755,,"관광,음식점",,,,,,
마리서사,정읍시,전북특별자치도,35.5800469883,126.8551022231,1607766,,"관광,음식점",,,,,,
명성쌈밥,정읍시,전북특별자치도,35.5768139783,126.8525247568,1608578,,"관광,음식점",,,,,,
명인관,정읍시,전북특별자치도,35.4932858815,126.9296311496,1608666,,"관광,음식점",,,,,,
분더퓨얼,정읍시,전북특별자치도,35.5698175772,126.8540970178,3114459,,"관광,음식점",,,,,,
비원한정식,정읍시,전북특별자치도,35.5710423081,126.8464587767,1607620,,"관광,음식점",,,,,,
삼부회관,정읍시,전북특별자치도,35.5811496129,126.8534356765,1608851,,"관광,음식점",,,,,,
서울반점,정읍시,전북특별자치도,35.5637824091,126.8692652681,1607698,,"관광,음식점",,,,,,
장어나라,정읍시,전북특별자치도,35.581221911,126.8584018995,1607725,,"관광,음식점",,,,,,
전라회관,정읍시,전북특별자치도,35.4944218134,126.9266758265,1608770,,"관광,음식점",,,,,,
정원한정식,정읍시,전북특별자치도,35.4941413072,126.9277090756,133222,,"관광,음식점",,,,,,
춘향골,정읍시,전북특별자치도,35.5857158489,126.8586128777,1607641,,"관광,음식점",,,,,,
프린스식당,정읍시,전북특별자치도,35.4950578633,126.9273313079,1608790,,"관광,음식점",,,,,,
