name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
고림사,진안군,전북특별자치도,35.8072056779,127.4042253049,297980,산,문화·역사;힐링·여유
금강,진안군,전북특별자치도,35.7889155237,127.5300812846,1624748,강·호수,힐링·여유;야외활동;사진 스팟
금강벼룻길,진안군,전북특별자치도,35.9736450341,127.5589376831,2932010,강·호수,야외활동;힐링·여유;사진 스팟
노채마을,진안군,전북특별자치도,35.8802417533,127.5581096999,2714789,,체험형;힐링·여유
두남천,진안군,전북특별자치도,35.8430101674,127.4170787716,127538,강·호수,힐링·여유;야외활동
마이돈테마공원,진안군,전북특별자치도,35.7755011862,127.4178888182,2615382,산,체험형;야외활동
마이산 타포니지형,진안군,전북특별자치도,35.7596501179,127.4127035856,128974,산,야외활동;사진 스팟
마이산 탑사,진안군,전북특별자치도,35.7585029994,127.4112037486,128972,산,문화·역사;사진 스팟
마이산 화엄굴,진안군,전북특별자치도,35.7596501179,127.4127035856,128976,산,문화·역사;사진 스팟
마이산도립공원,진안군,전북특별자치도,35.7664604977,127.4151031931,126235,산,힐링·여유;야외활동;사진 스팟
마이산도립공원 북부,진안군,전북특별자치도,35.766391058,127.4149198778,2939664,산,힐링·여유;야외활동
부남강변 유원지,진안군,전북특별자치도,35.9719091046,127.5580405863,1624882,강·호수,체험형;야외활동
사양제,진안군,전북특별자치도,35.7682241305,127.4119450935,2615364,산,체험형;힐링·여유
산약초타운,진안군,전북특별자치도,35.7762510792,127.4166305768,2774049,산,체험형;힐링·여유
신지천 생태 습지,진안군,전북특별자치도,35.8893737476,127.5410693032,3066678,강·호수,체험형;야외활동
옥천사(진안),진안군,전북특별자치도,35.8404186655,127.5673793837,1957024,산,문화·역사;힐링·여유
용담댐 조각공원,진안군,전북특별자치도,35.943842354,127.5298188474,2723139,강·호수,체험형;사진 스팟
용담향교,진안군,전북특별자치도,35.8419880838,127.5759813564,1182630,,문화·역사;힐링·여유
용담호,진안군,전북특별자치도,35.9345428625,127.4987190821,1627890,강·호수,힐링·여유;사진 스팟;야외활동
용담호자연생태습지공원,진안군,전북특별자치도,35.8157418326,127.461917178,2778546,강·호수,체험형;야외활동;힐링·여유
name,region,address_full,lat,lon,contentid,landscape_keywords,travel_style_keywords
은수사,진안군,전북특별자치도,35.7594668368,127.4144950983,128971,산,문화·역사;힐링·여유
지선당,진안군,전북특별자치도,35.8477210251,127.5906854538,1957074,,문화·역사;힐링·여유
진안 감동마을,진안군,전북특별자치도,35.9661871453,127.5361093562,803293,,체험형;힐링·여유
