name,region,address_full,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging
금강참붕어,진안군,전북특별자치도,35.8621062626,127.4764007728,2844079,,"관광,음식점",,,,,,
마이산 자연밥상,진안군,전북특별자치도,35.7741763201,127.4169528252,2905686,,"관광,음식점",,,,,,
안천각,진안군,전북특별자치도,35.8975507863,127.5518736804,2905709,,"관광,음식점",,,,,,
진안고원한국관,진안군,전북특별자치도,35.773923568,127.4167750699,2905754,,"관광,음식점",,,,,,
진안관,진안군,전북특별자치도,35.7927717196,127.4334453143,133289,,"관광,음식점",,,,,,
진안마을,진안군,전북특별자치도,35.7739124483,127.4162140089,2615387,,"관광,음식점",,,,,,
카페 공간153,진안군,전북특별자치도,35.7930715557,127.4260459635,2605337,,"관광,음식점",,,,,,
카페 기배기,진안군,전북특별자치도,35.836028995,127.4948470498,2783372,,"관광,음식점",,,,,,
돼지마을,진안군,전북특별자치도,35.9585432853,127.5199887721,1610489,,"관광,음식점",,,,,,
마이산옛터,진안군,전북특별자치도,35.7655856089,127.415803154,1610428,,"관광,음식점",,,,,,
마이산홍삼족욕카페,진안군,전북특별자치도,35.7755011862,127.4178888182,2615386,,"관광,음식점",,,,,,
조대감네 전주회관,진안군,전북특별자치도,35.7751289959,127.4172999915,1610401,,"관광,음식점",,,,,,
진안마이산 백제회관,진안군,전북특별자치도,35.774251314,127.4170805897,1608932,,"관광,음식점",,,,,,
