name,region,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging,detailed_keywords,keywords
가경목장,경기도,37.2971166997,126.8580034344,2901530,,"관광,음식점",,,,,,,[],
가고파부치기,강원특별자치도,37.3669090429,128.3949096743,2788416,,"관광,음식점",,,,,,,[],
가고파생삼겹구이,경상남도,35.1052441863,128.548368228,2866408,,"관광,음식점",,,,,,,[],
가나돈까스의집,서울특별시,37.5099674377,127.0377755568,2871024,,"관광,음식점",,,,,,,[],
가나샤브샤브,대전광역시,36.3890161659,127.35127,1928589,,"관광,음식점",,,,,,,[],
가나안국수,경기도,37.6009169989,126.8278865647,2894914,,"관광,음식점",,,,,,,[],
가나안장어마을,경기도,37.6721941761,126.7921100429,2831563,,"관광,음식점",,,,,,,[],
가남지,대전광역시,36.3853504089,127.3788898499,250577,,"관광,음식점",,,,,,,[],
가는곶 세화,제주특별자치도,33.5205279098,126.860696168,2850913,,"관광,음식점",,,,,,,[],
가담,서울특별시,37.5264209476,127.0302729961,2869760,,"관광,음식점",,,,,,,[],
가덕도횟집,인천광역시,37.4534884332,126.5998642696,597467,,"관광,음식점",,,,,,,[],
가덕한우정육점,충청북도,36.5634910212,127.5291215233,2903777,,"관광,음식점",,,,,,,[],
가데나 레스토랑,대전광역시,36.389812384,127.299752368,2866692,,"관광,음식점",,,,,,,[],
가드너스,경기도,37.7897037711,126.6961266153,2846052,,"관광,음식점",,,,,,,[],
가드니아 제빵소 본점,경기도,37.6379322725,127.1445094162,2901496,,"관광,음식점",,,,,,,[],
가든세계평화,경상북도,36.5041023204,129.1218147595,2900308,,"관광,음식점",,,,,,,[],
가든이천공원,경기도,37.2645370847,127.4733791122,134960,,"관광,음식점",,,,,,,[],
가든카페 명천마루,전북특별자치도,35.8329326323,127.6806389816,2877540,,"관광,음식점",,,,,,,[],
가든파티 계양점,인천광역시,37.5441604907,126.715515081,2876098,,"관광,음식점",,,,,,,[],
가든포레스트,충청북도,36.6968871677,127.5479605858,2860348,,"관광,음식점",,,,,,,[],
가람,충청북도,36.932935468,128.1772085952,2013680,,"관광,음식점",,,,,,,[],
가람,경기도,37.4959348976,127.2991160804,2736710,,"관광,음식점",,,,,,,[],
가람,제주특별자치도,33.4888787305,126.5206569716,2906155,,"관광,음식점",,,,,,,[],
가람국시,서울특별시,37.5168415735,127.0341090296,2871443,,"관광,음식점",,,,,,,[],
가람돌솥밥,제주특별자치도,33.2496843087,126.431317334,2755053,,"관광,음식점",,,,,,,[],
가람집옹심이,강원특별자치도,37.7611934162,128.9393320379,2868839,,"관광,음식점",,,,,,,[],
가래울해장국,경기도,37.2051837464,127.6756069815,2768070,,"관광,음식점",,,,,,,[],
가리왕산가든,강원특별자치도,37.4546831081,128.4403251905,2801756,,"관광,음식점",,,,,,,[],
가림시골밥상,경기도,37.7906479225,126.6858608619,2832447,,"관광,음식점",,,,,,,[],
가마골,서울특별시,37.5517283673,127.1427398175,2685271,,"관광,음식점",,,,,,,[],
가마골 소갈비찜,경상남도,35.35869144,129.0416655122,2893648,,"관광,음식점",,,,,,,[],
가마골백숙,경기도,37.7135870113,126.971289723,2525533,,"관광,음식점",,,,,,,[],
가마등,경상남도,35.3534873866,128.941104986,2893649,,"관광,음식점",,,,,,,[],
가마로강정 신길삼거리,서울특별시,37.5142453371,126.9172780766,2682774,,"관광,음식점",,,,,,,[],
