id,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,가가책방,충청남도 공주시 당간지주길 10 (반죽동),,36.4521187744,127.121974952,2750143,"문화시설,인문",,[]
,가나아트센터,서울특별시 종로구 평창30길 28,,37.6122099878,126.9751811398,129854,"문화시설,인문",,[]
,가람문학관,전북특별자치도 익산시 가람1길 76 가람문학관,,36.0353602265,127.0844949735,2994669,"문화시설,인문",,[]
,가람화랑,서울특별시 종로구 인사동10길 11 (관훈동),,37.574336801,126.9856284839,129898,"문화시설,인문",,[]
,가원미술관,경기도 과천시 새빛로 24 (문원동),,37.4240072797,126.9992398229,2714751,"문화시설,인문",,[]
,가일서가,경상북도 안동시 노동길 16,,36.5739941223,128.5220131517,2997700,"문화시설,인문",,[]
,가천박물관,인천광역시 연수구 청량로102번길 40-9,,37.418224103,126.6576044255,130105,"문화시설,인문",,[]
,가톨릭대학교 성신교정도서관,서울특별시 종로구 창경궁로 296-12,,37.5859580079,127.0043347827,130233,"문화시설,인문",,[]
,가평문화예술회관,경기도 가평군 가평읍 문화로 131,,37.824247813,127.5085264086,130220,"문화시설,인문",,[]
,가평문화원,경기도 가평군 가평읍 문화로 121,,37.823906189,127.5086764052,129877,"문화시설,인문",,[]
,가회민화박물관,서울특별시 종로구 북촌로 52 (가회동),,37.58154429,126.9852783115,130446,"문화시설,인문",,[]
,간송미술관(서울 보화각),서울특별시 성북구 성북로 102-11 (성북동),,37.5936764304,126.9973796423,130511,"문화시설,인문",,[]
,감귤박물관,제주특별자치도 서귀포시 효돈순환로 441,,33.2711819574,126.6080904173,590415,"문화시설,인문",,[]
,감만창의 문화촌,부산광역시 남구 우암로 84-1,,35.1184857691,129.0813547668,3008288,"문화시설,인문",,[]
,감우재전승기념관,충청북도 음성군 음성읍 생음대로 594,,36.9506931176,127.6470390172,987769,"문화시설,인문",,[]
,강남문화원,서울특별시 강남구 논현로131길 40 (논현동),,37.5139001229,127.0271208603,130373,"문화시설,인문",,[]
,강동문화원,서울특별시 강동구 상암로 168 (천호동),,37.5457706995,127.1412345681,130376,"문화시설,인문",,[]
,강동아트센터,서울특별시 강동구 동남로 870 (상일동),,37.5511370351,127.1574079432,1750737,"문화시설,인문",,[]
,강릉 오죽헌·시립박물관,강원특별자치도 강릉시 율곡로3139번길 24 (죽헌동),,37.7791929484,128.8796896318,129784,"문화시설,인문",,[]
,강릉교육문화관,강원특별자치도 강릉시 노암등길 37-1 (노암동),,37.7460638413,128.8998721711,3022375,"문화시설,인문",,[]
,강릉단오제전수교육관,강원특별자치도 강릉시 단오장길 1,,37.7481857234,128.89502532,1722228,"문화시설,인문",,[]
,강릉문화원,강원특별자치도 강릉시 하슬라로 96 (교동),,37.7587785298,128.8738463449,129942,"문화시설,인문",,[]
,강릉시립미술관 교동,강원특별자치도 강릉시 화부산로40번길 46,,37.7606147594,128.890847534,2706817,"문화시설,인문",,[]
,강릉시립미술관 솔올,강원특별자치도 강릉시 원대로 45 (교동),,37.7589258472,128.8796263745,3100746,"문화시설,인문",,[]
,강릉원주대학교 박물관,강원특별자치도 강릉시 죽헌길 7,,37.7707381838,128.8700824251,2551386,"문화시설,인문",,[]
,강릉자동차극장,강원특별자치도 강릉시 구정면 칠성로 13-8,,37.6935226206,128.8961380184,2774692,"문화시설,인문",,[]
,강릉자수박물관,강원특별자치도 강릉시 죽헌길 140-12,,37.7779681022,128.880303503,1318353,"문화시설,인문",,[]
,강릉커피박물관,강원특별자치도 강릉시 왕산면 왕산로 2171-19,,37.6522307832,128.7846048822,2592013,"문화시설,인문",,[]
,강문화전시관,경상북도 예천군 풍양면 삼강리길 53-23,,36.5637829085,128.3045411333,2715994,"문화시설,인문",,[]
,강북문화원,서울특별시 강북구 삼각산로 85,,37.6408434551,127.0133101828,130217,"문화시설,인문",,[]
,강서별빛우주과학관,서울특별시 강서구 금낭화로 178 (방화동),,37.5810885136,126.8146355542,3304115,"문화시설,인문",,[]
