Aㅁid,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,가락몰 빵축제 전국빵지자랑,서울특별시 송파구 양재대로 932 (가락동),,37.4960786971,127.1107693087,3113671,"축제,인문",,[]
,가락옥토버페스트 캠핑축제,서울특별시 송파구 양재대로 932 (가락동),,37.4960786971,127.1107693087,3379778,"축제,인문",,[]
,가야문화축제,경상남도 김해시 분성로261번길 35 (봉황동),,35.2350661468,128.8759611362,694576,"축제,인문",,[]
,가파도청보리축제,제주특별자치도 서귀포시 대정읍,,33.1701766897,126.271738497,712175,"축제,인문",,[]
,가평 양떼목장 수국축제,경기도 가평군 설악면 유명로 1209,,37.6438848073,127.4739042663,3503909,"축제,인문",,[]
,가평 양떼목장 유채꽃축제,경기도 가평군 설악면 유명로 1209,,37.6438848073,127.4739042663,3495989,"축제,인문",,[]
,가평군 반려동물 문화행사 활짝펫,경기도 가평군 가평읍 자라섬로 60,,37.8209234278,127.5208753809,3490945,"축제,인문",,[]
,감악산 꽃별 여행,경상남도 거창군 신원면 덕산리,,35.5893172359,127.9176661977,2746930,"축제,인문",,[]
,감악산 해맞이 행사,경상남도 거창군 신원면 덕산리,,35.5913086552,127.9164356976,1506389,"축제,인문",,[]
,강경젓갈축제,충청남도 논산시 강경읍 금백로 45,,36.1575977477,127.0098123087,506376,"축제,인문",,[]
,강남역 케미스트릿 페스티벌,서울특별시 서초구 강남대로61길 7 (서초동),,37.4990823788,127.0259658291,3383832,"축제,인문",,[]
,강남페스티벌,서울특별시 강남구 영동대로 513 (삼성동),,37.5119175967,127.059217995,737479,"축제,인문",,[]
,강동북페스티벌,서울특별시 강동구 동남로 870 (상일동),,37.5511370351,127.1574079432,1806376,"축제,인문",,[]
,강동선사문화축제,서울특별시 강동구 올림픽로 875 (암사동),,37.5591134023,127.1306157102,1307813,"축제,인문",,[]
,강릉 국가유산 야행,강원특별자치도 강릉시 임영로131번길 6,,37.7532767444,128.8921226461,2541883,"축제,인문",,[]
,강릉 보현사 산사천년문화재,강원특별자치도 강릉시 성산면 보현길 396,,37.736626283,128.7693064482,3021124,"축제,인문",,[]
,강릉누들축제,강원특별자치도 강릉시 경강로 2111 (임당동),,37.7558321116,128.8976276267,2930716,"축제,인문",,[]
,강릉단오제,강원특별자치도 강릉시 단오장길 1,,37.7482134974,128.8950169869,531391,"축제,인문",,[]
,강릉비치비어페스티벌,강원특별자치도 강릉시 강문동,,37.8054932352,128.908011264,2607445,"축제,인문",,[]
,강릉시 반려동물문화축제,강원특별자치도 강릉시 종합운동장길 69 (교동),,37.7731717564,128.8967993872,3382732,"축제,인문",,[]
,강릉커피축제,강원특별자치도 강릉시 창해로14번길 20-1 (견소동),,37.7726644683,128.9473365175,825295,"축제,인문",,[]
,강릉페스티벌,강원특별자치도 강릉시 종합운동장길 84 (교동),,37.7717469087,128.8961606001,3403112,"축제,인문",,[]
