id,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,가고파캠핑장,경상남도 산청군 시천면 지리산대로1478번길 31-10,,35.2400382279,127.8177481174,2792802,"레포츠,레포츠",,[]
,가곡국민여가캠핑장,강원특별자치도 삼척시 가곡면 탕곡리,,37.1521493651,129.2080294287,2994101,"레포츠,레포츠",,[]
,가람관광농원,경상남도 합천군 봉산면 인덕로 930,,35.5874588369,128.0576566795,2740980,"레포츠,레포츠",,[]
,가람수상스키,경기도 남양주시 화도읍 북한강로1570번길 16,,37.6477240882,127.3680193406,3045767,"레포츠,레포츠",,[]
,가래골농원캠핑장,경기도 포천시 창수면 포천로2811번길 178,,37.9931883432,127.1571618898,2726655,"레포츠,레포츠",,[]
,가로림글램핑,충청남도 서산시 팔봉면 범머리길 80,,36.8345609965,126.3294362043,2792073,"레포츠,레포츠",,[]
,가루실캠핑장,충청남도 예산군 덕산면 가루실길 307-8,,36.6514652237,126.6391519459,2726649,"레포츠,레포츠",,[]
,가마미야영장,전라남도 영광군 홍농읍 계마길 120,,35.3966491642,126.407768849,2740982,"레포츠,레포츠",,[]
,가마실캠핑장,충청북도 제천시 의병대로61길 50,,37.1215160188,128.296642407,2727283,"레포츠,레포츠",,[]
,가반나야영장,경상남도 남해군 서부로 892-9,,34.8852282391,127.9837844531,2909215,"레포츠,레포츠",,[]
,가산글램핑,경상북도 칠곡군 가산면 학하2길 86,,36.0899705981,128.4749449452,2726650,"레포츠,레포츠",,[]
,가산낚시터 (구 우금저수지),경기도 포천시 가산면 우금길 13-32,,37.8253839198,127.2126089189,2752670,"레포츠,레포츠",,[]
,가산산성마을 캠핑장,경상북도 칠곡군 가산로 891,,36.0497718737,128.5976324551,2909008,"레포츠,레포츠",,[]
,가야경 오토캠핑장,경상북도 성주군 가천면 동신로 209,,35.8521744135,128.1189441038,2740987,"레포츠,레포츠",,[]
,가야권역 소리마실 영농조합법인,경상남도 합천군 가야면 가야산로 1267,,35.7725113993,128.128864841,2741001,"레포츠,레포츠",,[]
,가야랜드달빛야영장,경상남도 김해시 신어산길 67,,35.2590140057,128.9056384495,2726658,"레포츠,레포츠",,[]
,가야산국립공원 백운동 자동차야영장,경상북도 성주군 수륜면 가야산식물원길 49,,35.8047607712,128.1425683087,2747464,"레포츠,레포츠",,[]
,가야산국립공원 치인자동차야영장,경상남도 합천군 가야면 가야산로 1645-8,,35.7886535023,128.1004474677,2739362,"레포츠,레포츠",,[]
,가야산백운오토캠핑장,경상북도 성주군 수륜면 백운2길 51-32,,35.7953453385,128.1517927506,2753087,"레포츠,레포츠",,[]
,가야산캠핑장,충청남도 예산군 덕산면 윤봉길로 489-8,,36.6865498957,126.6289380424,2740968,"레포츠,레포츠",,[]
,가야컨트리클럽,경상남도 김해시 인제로 502,,35.2811835601,128.8958636958,130986,"레포츠,레포츠",,[]
,가온누리캠핑체험장,경상북도 경주시 안강읍 호국로 2037,,35.9810480877,129.1373340915,2726663,"레포츠,레포츠",,[]
,가온빌리지,경상남도 밀양시 산외면 산외강변로 309,,35.492999939,128.8156148929,2726667,"레포츠,레포츠",,[]
,가온오토캠핑장,경상북도 포항시 북구 새마을로 3351,,36.1473781253,129.0777984478,2908968,"레포츠,레포츠",,[]
,가우도카라반펜션,전라남도 강진군 대구면 저두바닷길 3,,34.5278201918,126.7920644864,2740970,"레포츠,레포츠",,[]
,가은해솔캠핑장,경상북도 문경시 가은읍 원북길 148-15,,36.6827834111,128.0160357234,2740974,"레포츠,레포츠",,[]
,가인야영장,전라남도 장성군 북하면 백양로 1217,,35.4330585531,126.8813591872,2726677,"레포츠,레포츠",,[]
,가족소풍,전라남도 담양군 용면 용소길 6,,35.4256731127,127.0345207933,2726681,"레포츠,레포츠",,[]
,가족쉼터,경기도 남양주시 수동면 비룡로 1603,,37.7559681143,127.2736720245,2738718,"레포츠,레포츠",,[]
,가좌산대나무숲길,경상남도 진주시 진주대로629번길 15-32,,35.1614576657,128.1026807218,2786064,"레포츠,레포츠",,[]
,가창글램핑장,대구광역시 달성군 가창면 단산1길 47-1,,35.7715573693,128.6631066775,2753101,"레포츠,레포츠",,[]
,가창농원글램핑오토캠핑장,대구광역시 달성군 가창면 가창로10길 56,,35.7270682494,128.6791981643,2740978,"레포츠,레포츠",,[]
,가창실내테니스장,대구광역시 달성군 가창면 가창로108길 7,,35.7618332761,128.652685642,3014114,"레포츠,레포츠",,[]
,가평 네잎클로버 카라반 글램핑,경기도 가평군 장수로 156-20,,37.6176301595,127.5086546484,2909629,"레포츠,레포츠",,[]
,가평 레일바이크,경기도 가평군 가평읍 장터길 14,,37.8290223933,127.5158755988,2361081,"레포츠,레포츠",,[]
,가평 물골숲 계곡 캠핑장,경기도 가평군 상면 물골길 120,,37.8368094476,127.3143381914,2763412,"레포츠,레포츠",,[]
,가평 사과나무 캠핑장,경기도 가평군 상면 한사간길 85-107,,37.7895490907,127.3584688745,2752045,"레포츠,레포츠",,[]
,가평 황정민키즈글램핑,경기도 가평군 조종면 명지산로 523,,37.9141267293,127.3845295262,2747505,"레포츠,레포츠",,[]
,가평1등수상레저,강원특별자치도 춘천시 남면 박암관천길 511-55,,37.7213270187,127.5395293769,3083085,"레포츠,레포츠",,[]
,가평TOP랜드 번지점프,경기도 가평군 가평읍 북한강변로 1044-15,,37.8060391429,127.526003128,131940,"레포츠,레포츠",,[]
,가평글램핑 사그막끝마을,경기도 가평군 가평읍 대곡리,,37.8234531252,127.4903197575,2909594,"레포츠,레포츠",,[]
,가평레저카트장,경기도 가평군 상면 수목원로 40,,37.7698654898,127.3704739088,2763770,"레포츠,레포츠",,[]
,가평무릉도원캠핑장,경기도 가평군 상면 임초밤안골로 207,,37.7516009037,127.3680913236,2792265,"레포츠,레포츠",,[]
,가평베네스트 골프클럽,경기도 가평군 상면 둔덕말길 232,,37.7976999779,127.3070427718,131810,"레포츠,레포츠",,[]
,가평별빛누리글램핑,경기도 가평군 상면 청군로 261,,37.7541346509,127.4067210642,2726686,"레포츠,레포츠",,[]
,가평보리산캠핑장,경기도 가평군 설악면 한서로 421-259,,37.6691913675,127.537292213,2726702,"레포츠,레포츠",,[]
,가평사계절캠핑장,경기도 가평군 북면 가화로 988,,37.8837194109,127.5486293388,2747467,"레포츠,레포츠",,[]
,가평설악 하늘계곡 캠핑장,경기도 가평군 설악면 봉미산안길 190-27,,37.6163308714,127.5391213631,2740086,"레포츠,레포츠",,[]
,가평썬캠핑,경기도 가평군 상면 청군로 1579-14,,37.8259775043,127.3213767529,2763418,"레포츠,레포츠",,[]
,가평역레져,경기도 가평군 가평읍 달전리,,37.8150544342,127.5083183638,3018553,"레포츠,레포츠",,[]
,가평카라반캠핑농원,경기도 가평군 가평읍 문화로 291-25,,37.8387627132,127.5043235876,2740097,"레포츠,레포츠",,[]
,가평캠핑스마일,경기도 가평군 조종면 연인산로474번길 91-27,,37.8456819339,127.3850898109,2726710,"레포츠,레포츠",,[]
,가평탑랜드(KTOPLAND),경기도 가평군 가평읍 북한강변로 1044-15,,37.8057669522,127.5260003589,3006200,"레포츠,레포츠",,[]
