id,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,가가상점,충청남도 공주시 감영길 3,,36.4529297875,127.1216721795,2750144,"쇼핑,쇼핑",,[]
,가경 터미널시장,충청북도 청주시 흥덕구 가경동,,36.6286485111,127.4341171334,1433504,"쇼핑,쇼핑",,[]
,가까운약국 서면,"부산광역시 부산진구 가야대로 779,1층(부전동)",,35.1579947826,129.0568335973,2930927,"쇼핑,쇼핑",,[]
,가나안약국,서울특별시 강남구 도산대로 113(신사동),,37.5170635319,127.0208657845,2899721,"쇼핑,쇼핑",,[]
,가네시 롯데본점,서울특별시 중구 남대문로 81,,37.5647822864,126.9817485525,2928947,"쇼핑,쇼핑",,[]
,가넷옴므,서울특별시 금천구 디지털로 185 (가산동),,37.4782600918,126.8872262708,3306525,"쇼핑,쇼핑",,[]
,가든파이브라이프(Garden5life),서울특별시 송파구 충민로 66 (문정동),,37.4776672007,127.1249768726,732484,"쇼핑,쇼핑",,[]
,가락농수산물종합도매시장,서울특별시 송파구 양재대로 932,,37.496092588,127.1109831778,132215,"쇼핑,쇼핑",,[]
,가락몰,서울특별시 송파구 양재대로 932 (가락동),,37.4960786971,127.1107693087,2757647,"쇼핑,쇼핑",,[]
,가락수산시장,서울특별시 송파구 양재대로 932,,37.49615647,127.1110192841,2757640,"쇼핑,쇼핑",,[]
,가래비시장(가납시장),경기도 양주시 광적면 가납리 738-29,,37.8238327341,126.9841492836,2748296,"쇼핑,쇼핑",,[]
,가리봉시장,서울특별시 구로구 우마3길 19,,37.4817874979,126.8893759759,2758198,"쇼핑,쇼핑",,[]
,가미성형외과,서울특별시 강남구 테헤란로105 13층,,37.4987019129,127.0285433827,2918688,"쇼핑,쇼핑",,[]
,가버 현대가든파이브,서울특별시 송파구 충민로66 2층,,37.4776672007,127.1249768726,2924584,"쇼핑,쇼핑",,[]
,가버 현대동대문,서울특별시 중구 장충단로13길 20,,37.5687878415,127.0076821872,2905752,"쇼핑,쇼핑",,[]
,가은아자개장터,경상북도 문경시 가은읍 가은3길 17,,36.6462106535,128.061249385,2756644,"쇼핑,쇼핑",,[]
,가음정시장,경상남도 창원시 성산구 대정로35번길 4-1,,35.2078909442,128.6981523904,2783811,"쇼핑,쇼핑",,[]
,가이거,경기도 김포시 고촌읍 아라육로152번길100,,37.5972888829,126.7852461144,2927087,"쇼핑,쇼핑",,[]
,가좌시장,인천광역시 서구 장고개로337번길 18-19,,37.4941962868,126.6834110718,2768173,"쇼핑,쇼핑",,[]
,가평 잣고을 전통시장,경기도 가평군 가평읍 장터2길 10,,37.8299194893,127.5147006795,132785,"쇼핑,쇼핑",,[]
,가평 현리5일장,경기도 가평군 조종면 현창로44번길 14,,37.8197092957,127.3489966384,132786,"쇼핑,쇼핑",,[]
,간격 드로잉스페이스,서울특별시 마포구 월드컵로23길 20 망원빌,,37.5570179737,126.9077277407,2989027,"쇼핑,쇼핑",,[]
,간석자유시장,인천광역시 남동구 백범로 312-1,,37.4639420354,126.7153756657,2766259,"쇼핑,쇼핑",,[]
,간성전통시장,강원특별자치도 고성군 간성읍 간성시장2길 9-3,,38.3802151301,128.4697191736,132783,"쇼핑,쇼핑",,[]
,"감곡장 (3, 8일)",충청북도 음성군 감곡면 장감로132번길 22,,37.1182042275,127.6391460878,132406,"쇼핑,쇼핑",,[]
,감전제일상가시장,부산광역시 사상구 새벽로168번길 21-11,,35.1563630778,128.9845760414,2785609,"쇼핑,쇼핑",,[]
,"감포공설시장(3, 8일)",경상북도 경주시 감포읍 감포로 115,,35.8041527624,129.5020460934,2756602,"쇼핑,쇼핑",,[]
,강경대흥시장,충청남도 논산시 계백로105번길 8-4,,36.1555869215,127.0129759676,2913835,"쇼핑,쇼핑",,[]
,강경젓갈시장,충청남도 논산시 강경읍 옥녀봉로27번길 30-3,,36.1597837058,127.0153645321,132519,"쇼핑,쇼핑",,[]
