name,region,lat,lon,tags
가계해수욕장,전라남도,34.4354594945,126.3547412438,"관광,자연"
가고파 꼬부랑길 벽화마을,경상남도,35.2077664004,128.5696552845,"관광,문화"
가곡유황온천&스파,강원특별자치도,37.1507494904,129.2062296318,"관광,문화"
가금철교 문화공원,경기도,37.7533531645,127.0455151412,"관광,문화"
가나아트파크,경기도,37.7254519094,126.9497496852,"관광,문화"
가남체육공원,경기도,37.2017093544,127.5349142281,"관광,문화"
가덕도,부산광역시,35.0399121452,128.8284150154,"관광,자연"
가덕도 등대,부산광역시,35.0006471157,128.8295937487,"관광,자연"
가덕도외양포전망대,부산광역시,35.0017831264,128.8310519246,"관광,문화"
가덕산,경기도,37.9202321907,127.5683098007,"관광,자연"
가람리조트,강원특별자치도,37.8364309102,128.0184630062,"관광,문화"
가력도항,전북특별자치도,35.7269248004,126.5314023248,"관광,자연"
가령폭포,강원특별자치도,37.8326534604,128.159522544,"관광,자연"
가루매마을,경기도,37.4519513148,127.6145192906,"관광,문화"
가리산(홍천),강원특별자치도,37.8543978969,127.9988086966,"관광,자연"
가리왕산,강원특별자치도,37.461826298,128.5634777835,"관광,자연"
가림상회,충청남도,36.1899003585,126.8928691464,"관광,문화"
가마골계곡,전라남도,35.445187367,127.0227046757,"관광,자연"
가마미해수욕장,전라남도,35.399729392,126.4090769892,"관광,자연"
가마오름,제주특별자치도,33.3057279944,126.2466098987,"관광,자연"
가뫼골마을,경상남도,35.258656593,128.0324121006,"관광,문화"
가문이오름(감은이오름),제주특별자치도,33.4018299117,126.6876111209,"관광,자연"
가사해수욕장,전라남도,34.370487281,126.9281702396,"관광,자연"
가산사,충청북도,36.4015885618,127.5973920906,"관광,문화"
가산산성마을,경상북도,36.0501079498,128.597812985,"관광,문화"
가산서원,전라남도,35.2313226604,126.6931003984,"관광,문화"
가산수변공원,경상남도,35.295064808,129.0178748959,"관광,문화"
가산수피아,경상북도,36.0861545517,128.4850691574,"관광,자연"
가새기오름,제주특별자치도,33.4893700755,126.5038611983,"관광,자연"
가섭사,충청북도,36.96663397,127.7030557496,"관광,문화"
